dataset,video_id,path_id,query,category_id,score,objectness,semantic_margin,temporal_stability,association_score,matched_gt_id,matched_iou,temporal_overlap,is_unmatched,cell_id,novelty_bin,query_cluster,occ_bin,domain_bin,frame_start,frame_end,clip_path,montage_path
OVT-B,601,ovtb_v601_p006389,cymbal,268,0.32285607286861967,0.32285607286861967,0.32285607286861967,7,0.8571428571428571,5095,0.09187037749661578,0.0,True,cat:268,unknown,cymbal,unknown,global,3,19,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v601_p006389.jpg
OVT-B,514,ovtb_v514_p005708,skunk,841,0.7591231018304825,0.7591231018304825,0.7591231018304825,8,0.875,4425,0.019149356902474775,0.0,True,cat:841,unknown,skunk,unknown,global,0,29,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v514_p005708.jpg
OVT-B,716,ovtb_v716_p007244,skunk,841,0.36023423075675964,0.36023423075675964,0.36023423075675964,6,0.8333333333333334,,0.0,0.0,True,cat:841,unknown,skunk,unknown,global,4,25,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v716_p007244.jpg
OVT-B,985,ovtb_v985_p009238,bottle,113,0.745994359254837,0.745994359254837,0.745994359254837,8,0.875,7516,0.5005902796599769,0.125,True,cat:113,unknown,bottle,unknown,global,0,23,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v985_p009238.jpg
OVT-B,266,ovtb_v266_p004040,bottle,113,0.5499245747923851,0.5499245747923851,0.5499245747923851,8,0.875,2909,0.17628526556426063,0.0,True,cat:113,unknown,bottle,unknown,global,0,34,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v266_p004040.jpg
OVT-B,266,ovtb_v266_p004041,bottle,113,0.5307949110865593,0.5307949110865593,0.5307949110865593,8,0.875,2912,0.2132763525923556,0.0,True,cat:113,unknown,bottle,unknown,global,0,34,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v266_p004041.jpg
OVT-B,820,ovtb_v820_p008046,bottle,113,0.481055174022913,0.481055174022913,0.481055174022913,8,0.875,,0.0,0.0,True,cat:113,unknown,bottle,unknown,global,0,19,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v820_p008046.jpg
OVT-B,266,ovtb_v266_p004047,bottle,113,0.4445495307445526,0.4445495307445526,0.4445495307445526,3,0.6666666666666666,2915,0.2003228374137269,0.0,True,cat:113,unknown,bottle,unknown,global,24,34,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v266_p004047.jpg
OVT-B,460,ovtb_v460_p005358,bottle,113,0.41842199862003326,0.41842199862003326,0.41842199862003326,8,0.875,4073,0.6001341202960707,0.125,True,cat:113,unknown,bottle,unknown,global,0,17,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v460_p005358.jpg
OVT-B,788,ovtb_v788_p007778,bottle,113,0.41253501176834106,0.41253501176834106,0.41253501176834106,7,0.8571428571428571,,0.0,0.0,True,cat:113,unknown,bottle,unknown,global,0,29,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v788_p007778.jpg
OVT-B,296,ovtb_v296_p004281,bottle,113,0.3868367001414299,0.3868367001414299,0.3868367001414299,4,0.75,,0.0,0.0,True,cat:113,unknown,bottle,unknown,global,6,11,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v296_p004281.jpg
OVT-B,606,ovtb_v606_p006434,bottle,113,0.368843711912632,0.368843711912632,0.368843711912632,8,0.875,5136,0.03088416371172135,0.0,True,cat:113,unknown,bottle,unknown,global,0,14,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v606_p006434.jpg
OVT-B,265,ovtb_v265_p004035,bottle,113,0.343306764960289,0.343306764960289,0.343306764960289,2,0.5,2902,0.20901315449699318,0.0,True,cat:113,unknown,bottle,unknown,global,14,16,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v265_p004035.jpg
OVT-B,847,ovtb_v847_p008220,pencil,663,0.7422490753233433,0.7422490753233433,0.7422490753233433,8,0.875,6629,0.04004585535336605,0.0,True,cat:663,unknown,pencil,unknown,global,0,14,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v847_p008220.jpg
OVT-B,416,ovtb_v416_p005041,pencil,663,0.5392735153436661,0.5392735153436661,0.5392735153436661,8,0.875,3847,0.13331256725313237,0.0,True,cat:663,unknown,pencil,unknown,global,0,29,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v416_p005041.jpg
OVT-B,416,ovtb_v416_p005045,pencil,663,0.4279736652970314,0.4279736652970314,0.4279736652970314,4,0.75,3850,0.1425012209019744,0.0,True,cat:663,unknown,pencil,unknown,global,8,29,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v416_p005045.jpg
OVT-B,847,ovtb_v847_p008222,pencil,663,0.31788821518421173,0.31788821518421173,0.31788821518421173,2,0.5,6629,0.368694994730411,0.0,True,cat:663,unknown,pencil,unknown,global,2,14,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v847_p008222.jpg
OVT-B,53,ovtb_v53_p002693,watercraft,1019,0.7333702445030212,0.7333702445030212,0.7333702445030212,2,0.5,1806,0.3969479086016808,0.0,True,cat:1019,unknown,watercraft,unknown,global,85,106,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v53_p002693.jpg
OVT-B,53,ovtb_v53_p002698,watercraft,1019,0.6869816780090332,0.6869816780090332,0.6869816780090332,2,0.5,1807,0.43705902603771796,0.0,True,cat:1019,unknown,watercraft,unknown,global,128,149,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v53_p002698.jpg
OVT-B,81,ovtb_v81_p002855,watercraft,1019,0.6366088092327118,0.6366088092327118,0.6366088092327118,3,0.6666666666666666,1880,0.365884815795421,0.0,True,cat:1019,unknown,watercraft,unknown,global,34,69,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v81_p002855.jpg
OVT-B,53,ovtb_v53_p002694,watercraft,1019,0.5979675352573395,0.5979675352573395,0.5979675352573395,2,0.5,1807,0.4488431341400961,0.0,True,cat:1019,unknown,watercraft,unknown,global,85,106,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v53_p002694.jpg
OVT-B,53,ovtb_v53_p002679,watercraft,1019,0.5274564474821091,0.5274564474821091,0.5274564474821091,2,0.5,1808,0.41976497960942133,0.0,True,cat:1019,unknown,watercraft,unknown,global,0,85,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v53_p002679.jpg
OVT-B,53,ovtb_v53_p002684,watercraft,1019,0.49935758113861084,0.49935758113861084,0.49935758113861084,2,0.5,1807,0.48100988109393006,0.0,True,cat:1019,unknown,watercraft,unknown,global,21,106,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v53_p002684.jpg
OVT-B,80,ovtb_v80_p002842,watercraft,1019,0.4610096663236618,0.4610096663236618,0.4610096663236618,2,0.5,,0.0,0.0,True,cat:1019,unknown,watercraft,unknown,global,99,132,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v80_p002842.jpg
OVT-B,53,ovtb_v53_p002691,watercraft,1019,0.44468016425768536,0.44468016425768536,0.44468016425768536,3,0.6666666666666666,1809,0.4472388195477683,0.0,True,cat:1019,unknown,watercraft,unknown,global,64,149,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v53_p002691.jpg
OVT-B,81,ovtb_v81_p002856,watercraft,1019,0.44260063767433167,0.44260063767433167,0.44260063767433167,4,0.75,1880,0.4074467643743865,0.0,True,cat:1019,unknown,watercraft,unknown,global,69,120,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v81_p002856.jpg
OVT-B,53,ovtb_v53_p002682,watercraft,1019,0.3564543128013611,0.3564543128013611,0.3564543128013611,2,0.5,1808,0.47120917563910014,0.0,True,cat:1019,unknown,watercraft,unknown,global,0,43,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v53_p002682.jpg
OVT-B,343,ovtb_v343_p004581,infusion pump,490,0.7199629321694374,0.7199629321694374,0.7199629321694374,8,0.875,3414,0.4223668340664329,0.0,True,cat:490,unknown,infusion pump,unknown,global,0,19,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v343_p004581.jpg
OVT-B,554,ovtb_v554_p006031,scallops,789,0.7199555516242981,0.7199555516242981,0.7199555516242981,5,0.8,4742,0.007101931597886917,0.0,True,cat:789,unknown,scallops,unknown,global,10,24,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v554_p006031.jpg
OVT-B,554,ovtb_v554_p006029,scallops,789,0.5941479504108429,0.5941479504108429,0.5941479504108429,8,0.875,,0.0,0.0,True,cat:789,unknown,scallops,unknown,global,0,24,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v554_p006029.jpg
OVT-B,872,ovtb_v872_p008397,scallops,789,0.3528441786766052,0.3528441786766052,0.3528441786766052,2,0.5,6757,0.06714568850096964,0.0,True,cat:789,unknown,scallops,unknown,global,11,13,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v872_p008397.jpg
OVT-B,85,ovtb_v85_p002894,elephant,341,0.7154756784439087,0.7154756784439087,0.7154756784439087,3,0.6666666666666666,1895,0.2489682464463474,0.0,True,cat:341,unknown,elephant,unknown,global,103,144,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v85_p002894.jpg
OVT-B,85,ovtb_v85_p002883,elephant,341,0.454678013920784,0.454678013920784,0.454678013920784,2,0.5,,0.0,0.0,True,cat:341,unknown,elephant,unknown,global,0,21,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v85_p002883.jpg
OVT-B,85,ovtb_v85_p002884,elephant,341,0.42948995530605316,0.42948995530605316,0.42948995530605316,2,0.5,,0.0,0.0,True,cat:341,unknown,elephant,unknown,global,0,21,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v85_p002884.jpg
OVT-B,85,ovtb_v85_p002887,elephant,341,0.39729738235473633,0.39729738235473633,0.39729738235473633,2,0.5,,0.0,0.0,True,cat:341,unknown,elephant,unknown,global,21,41,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v85_p002887.jpg
OVT-B,83,ovtb_v83_p002871,elephant,341,0.33389127254486084,0.33389127254486084,0.33389127254486084,2,0.5,1888,0.17224739998057145,0.0,True,cat:341,unknown,elephant,unknown,global,0,54,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v83_p002871.jpg
OVT-B,348,ovtb_v348_p004632,calculator,150,0.7117550447583199,0.7117550447583199,0.7117550447583199,8,0.875,3465,0.19738021338932207,0.0,True,cat:150,unknown,calculator,unknown,global,0,29,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v348_p004632.jpg
OVT-B,487,ovtb_v487_p005564,carnation,172,0.7106496319174767,0.7106496319174767,0.7106496319174767,8,0.875,4298,0.16348537908596616,0.0,True,cat:172,unknown,carnation,unknown,global,0,12,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v487_p005564.jpg
OVT-B,231,ovtb_v231_p003780,carnation,172,0.5207976885139942,0.5207976885139942,0.5207976885139942,8,0.875,2622,0.07634628200101753,0.0,True,cat:172,unknown,carnation,unknown,global,0,15,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v231_p003780.jpg
OVT-B,231,ovtb_v231_p003781,carnation,172,0.4960540309548378,0.4960540309548378,0.4960540309548378,8,0.875,2622,0.031716416476701655,0.0,True,cat:172,unknown,carnation,unknown,global,0,15,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v231_p003781.jpg
OVT-B,231,ovtb_v231_p003783,carnation,172,0.4402770772576332,0.4402770772576332,0.4402770772576332,8,0.875,2622,0.05445392158715032,0.0,True,cat:172,unknown,carnation,unknown,global,0,15,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v231_p003783.jpg
OVT-B,231,ovtb_v231_p003784,carnation,172,0.42823102697730064,0.42823102697730064,0.42823102697730064,8,0.875,2622,0.05694423281414879,0.0,True,cat:172,unknown,carnation,unknown,global,0,15,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v231_p003784.jpg
OVT-B,231,ovtb_v231_p003785,carnation,172,0.4098172038793564,0.4098172038793564,0.4098172038793564,8,0.875,2622,0.014089536016641112,0.0,True,cat:172,unknown,carnation,unknown,global,0,15,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v231_p003785.jpg
OVT-B,231,ovtb_v231_p003782,carnation,172,0.40178515389561653,0.40178515389561653,0.40178515389561653,8,0.875,2622,0.18428750216285036,0.0,True,cat:172,unknown,carnation,unknown,global,0,15,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v231_p003782.jpg
OVT-B,231,ovtb_v231_p003788,carnation,172,0.34628354012966156,0.34628354012966156,0.34628354012966156,6,0.8333333333333334,2622,0.08996767224619241,0.0,True,cat:172,unknown,carnation,unknown,global,2,15,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v231_p003788.jpg
OVT-B,231,ovtb_v231_p003789,carnation,172,0.3283449560403824,0.3283449560403824,0.3283449560403824,2,0.5,2622,0.06565167212298496,0.0,True,cat:172,unknown,carnation,unknown,global,6,9,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v231_p003789.jpg
OVT-B,231,ovtb_v231_p003786,carnation,172,0.3169538428386052,0.3169538428386052,0.3169538428386052,6,0.8333333333333334,2622,0.16770449917981375,0.0,True,cat:172,unknown,carnation,unknown,global,0,15,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v231_p003786.jpg
OVT-B,508,ovtb_v508_p005672,soccer ball,850,0.7102872356772423,0.7102872356772423,0.7102872356772423,8,0.875,,0.0,0.0,True,cat:850,unknown,soccer ball,unknown,global,0,19,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v508_p005672.jpg
OVT-B,351,ovtb_v351_p004645,bulldozer,135,0.7101896107196808,0.7101896107196808,0.7101896107196808,8,0.875,3483,0.016413522982202403,0.0,True,cat:135,unknown,bulldozer,unknown,global,0,34,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v351_p004645.jpg
OVT-B,61,ovtb_v61_p002740,zebra,1052,0.7069576382637024,0.7069576382637024,0.7069576382637024,8,0.875,1826,0.5537916597779867,0.125,True,cat:1052,unknown,zebra,unknown,global,0,129,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v61_p002740.jpg
OVT-B,34,ovtb_v34_p001973,balloon,39,0.6899479883057731,0.6899479883057731,0.6899479883057731,7,0.8571428571428571,1228,0.01832360177088817,0.0,True,cat:39,unknown,balloon,unknown,global,21,150,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v34_p001973.jpg
OVT-B,33,ovtb_v33_p001891,balloon,39,0.5929506123065948,0.5929506123065948,0.5929506123065948,2,0.5,1187,0.4191623841187001,0.0,True,cat:39,unknown,balloon,unknown,global,153,267,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v33_p001891.jpg
OVT-B,33,ovtb_v33_p001893,balloon,39,0.5728700459003448,0.5728700459003448,0.5728700459003448,2,0.5,1153,0.29506875179465836,0.0,True,cat:39,unknown,balloon,unknown,global,153,267,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v33_p001893.jpg
OVT-B,32,ovtb_v32_p001661,balloon,39,0.5636690557003021,0.5636690557003021,0.5636690557003021,2,0.5,1125,0.45889980826095556,0.0,True,cat:39,unknown,balloon,unknown,global,0,86,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v32_p001661.jpg
OVT-B,605,ovtb_v605_p006427,box,122,0.665350079536438,0.665350079536438,0.665350079536438,2,0.5,,0.0,0.0,True,cat:122,unknown,box,unknown,global,4,25,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v605_p006427.jpg
OVT-B,605,ovtb_v605_p006425,box,122,0.6435449242591857,0.6435449242591857,0.6435449242591857,5,0.8,,0.0,0.0,True,cat:122,unknown,box,unknown,global,0,29,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v605_p006425.jpg
OVT-B,382,ovtb_v382_p004797,box,122,0.39943966269493103,0.39943966269493103,0.39943966269493103,6,0.8333333333333334,3627,0.003457966491230754,0.0,True,cat:122,unknown,box,unknown,global,0,10,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v382_p004797.jpg
OVT-B,313,ovtb_v313_p004398,box,122,0.3255211263895035,0.3255211263895035,0.3255211263895035,2,0.5,,0.0,0.0,True,cat:122,unknown,box,unknown,global,16,20,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v313_p004398.jpg
OVT-B,404,ovtb_v404_p004956,box,122,0.31118375062942505,0.31118375062942505,0.31118375062942505,2,0.5,,0.0,0.0,True,cat:122,unknown,box,unknown,global,10,13,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v404_p004956.jpg
OVT-B,493,ovtb_v493_p005602,oven,636,0.6627947017550468,0.6627947017550468,0.6627947017550468,8,0.875,4312,0.3880781609783382,0.0,True,cat:636,unknown,oven,unknown,global,0,34,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v493_p005602.jpg
OVT-B,466,ovtb_v466_p005408,cassette,177,0.6548327133059502,0.6548327133059502,0.6548327133059502,8,0.875,4162,0.12584904104816577,0.0,True,cat:177,unknown,cassette,unknown,global,0,23,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v466_p005408.jpg
OVT-B,466,ovtb_v466_p005409,cassette,177,0.5799195617437363,0.5799195617437363,0.5799195617437363,8,0.875,4149,0.11276445793704833,0.0,True,cat:177,unknown,cassette,unknown,global,0,23,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v466_p005409.jpg
OVT-B,466,ovtb_v466_p005410,cassette,177,0.413860559463501,0.413860559463501,0.413860559463501,8,0.875,,0.0,0.0,True,cat:177,unknown,cassette,unknown,global,0,23,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v466_p005410.jpg
OVT-B,782,ovtb_v782_p007723,cassette,177,0.37478336691856384,0.37478336691856384,0.37478336691856384,8,0.875,,0.0,0.0,True,cat:177,unknown,cassette,unknown,global,0,23,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v782_p007723.jpg
OVT-B,782,ovtb_v782_p007722,cassette,177,0.3699153959751129,0.3699153959751129,0.3699153959751129,8,0.875,,0.0,0.0,True,cat:177,unknown,cassette,unknown,global,0,23,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v782_p007722.jpg
OVT-B,782,ovtb_v782_p007721,cassette,177,0.35886500562940327,0.35886500562940327,0.35886500562940327,7,0.8571428571428571,,0.0,0.0,True,cat:177,unknown,cassette,unknown,global,0,20,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v782_p007721.jpg
