blinded_item_id,domain,dataset,task,candidate_unit,asset_ref,context_ref,audit_question,external_label,external_uncertain_reason,external_confidence,external_reviewer_id,external_review_timestamp
EXTAUD-00011,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4845_d001_animal,location=526 video=52601 frame=44,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00012,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4979_d001_animal,location=526 video=52604 frame=178,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00013,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4866_d001_animal,location=526 video=52601 frame=65,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00014,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l449_img4027_d001_animal,location=449 video=44900 frame=26,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00015,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::4868->4868::397f1ababaa387f5->397f1ababaa387f5,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00016,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l470_img820_d001_animal,location=470 video=47000 frame=19,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00017,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l218_img2331_d001_animal,location=218 video=21803 frame=130,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00018,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l119_img5679_d001_animal,location=119 video=11901 frame=78,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00019,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l176_img5441_d001_animal,location=176 video=17601 frame=40,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00020,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::7093->7093::759d989bf51c6284->759d989bf51c6284,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00021,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l105_img5915_d001_animal,location=105 video=10502 frame=114,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00022,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l449_img4012_d001_animal,location=449 video=44900 frame=11,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00023,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l57_img3251_d001_animal,location=57 video=5701 frame=50,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00024,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::3450->3450::9e6763d05de1ada6->9e6763d05de1ada6,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00025,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l119_img5754_d001_animal,location=119 video=11903 frame=153,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00026,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::2570->2570::fc2065c8bad21876->fc2065c8bad21876,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00027,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l176_img5562_d001_animal,location=176 video=17604 frame=161,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00028,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::2059->2059::6f6f63e6823da487->6f6f63e6823da487,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00029,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4940_d001_animal,location=526 video=52603 frame=139,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00030,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::2137->2137::8f505b4f8240ba0b->8f505b4f8240ba0b,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00031,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::5625->5625::23470edfc1e7d9ae->23470edfc1e7d9ae,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00032,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::2150->2150::f05759f3b94a718b->f05759f3b94a718b,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00033,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l392_img3111_d001_animal,location=392 video=39202 frame=110,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00034,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l512_img3627_d001_animal,location=512 video=51200 frame=26,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00035,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l449_img4025_d001_animal,location=449 video=44900 frame=24,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00036,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l57_img3222_d001_animal,location=57 video=5700 frame=21,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00037,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::582->582::14e5fd5a10e485b0->14e5fd5a10e485b0,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00038,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l57_img3307_d001_animal,location=57 video=5702 frame=106,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00039,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l218_img2370_d001_animal,location=218 video=21804 frame=169,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00040,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4809_d001_animal,location=526 video=52600 frame=8,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00041,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l212_img198_d001_animal,location=212 video=21204 frame=197,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00042,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::4670->4670::3bc70bd28b1ef4ee->3bc70bd28b1ef4ee,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00043,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l218_img2375_d001_animal,location=218 video=21804 frame=174,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00044,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l449_img4052_d001_animal,location=449 video=44901 frame=51,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00045,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::3404->3404::138075d142d76e94->138075d142d76e94,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00046,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::2815->2815::ee61cc872402673f->ee61cc872402673f,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00047,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0595E-1278N_2383_3079_13::2019-12->2020-01::1510->1510::6bfe1d2d42c5553b->6bfe1d2d42c5553b,aoi=L15-0595E-1278N_2383_3079_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00048,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::5703->5703::870e7541a9367e66->870e7541a9367e66,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00049,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::4002->4002::0f6f1e89e7ca8a30->0f6f1e89e7ca8a30,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00050,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0632E-0892N_2528_4620_13::2019-12->2020-01::393->393::30aada07022396fa->30aada07022396fa,aoi=L15-0632E-0892N_2528_4620_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00051,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l392_img3002_d001_animal,location=392 video=39200 frame=1,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00052,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::25->25::d2da0fdb9e99c3e8->d2da0fdb9e99c3e8,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00053,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l470_img905_d001_animal,location=470 video=47002 frame=104,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00054,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4972_d001_animal,location=526 video=52604 frame=171,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00055,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l470_img829_d001_animal,location=470 video=47000 frame=28,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00056,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l449_img4026_d001_animal,location=449 video=44900 frame=25,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00057,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l218_img2247_d001_animal,location=218 video=21801 frame=46,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00058,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::2757->2757::e1a2bc12f8e8b775->e1a2bc12f8e8b775,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00059,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l177_img1813_d001_animal,location=177 video=17700 frame=12,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00060,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l449_img4167_d001_animal,location=449 video=44904 frame=166,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00061,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::1430->1430::1e702c9c000157d9->1e702c9c000157d9,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00062,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0595E-1278N_2383_3079_13::2019-12->2020-01::1615->1615::43e1d8b93fceacb8->43e1d8b93fceacb8,aoi=L15-0595E-1278N_2383_3079_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00063,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::4853->4853::eff25b8febdcd274->eff25b8febdcd274,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00064,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l449_img4121_d001_animal,location=449 video=44903 frame=120,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00065,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l177_img1813_d001_animal,location=177 video=17700 frame=12,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00066,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l218_img2269_d001_animal,location=218 video=21801 frame=68,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00067,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l3_img377_d001_animal,location=3 video=304 frame=176,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00068,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l119_img5769_d001_animal,location=119 video=11904 frame=168,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00069,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::3954->3954::b711e6c5e9dc0034->b711e6c5e9dc0034,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00070,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::8480->8480::a0c2a178da560918->a0c2a178da560918,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00071,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l210_img754_d001_animal,location=210 video=21003 frame=153,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00072,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4943_d001_animal,location=526 video=52603 frame=142,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00073,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l3_img202_d001_animal,location=3 video=300 frame=1,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00074,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l105_img5804_d001_animal,location=105 video=10500 frame=3,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00075,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l176_img5528_d001_animal,location=176 video=17603 frame=127,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00076,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4805_d001_animal,location=526 video=52600 frame=4,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00077,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::7585->7585::f68d2d21e7187acf->f68d2d21e7187acf,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00078,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l449_img4081_d001_animal,location=449 video=44902 frame=80,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00079,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::2730->2730::fb066ff8aa2408b1->fb066ff8aa2408b1,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00080,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4914_d001_animal,location=526 video=52602 frame=113,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00081,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::2465->2465::7f5cc83e444a5c1a->7f5cc83e444a5c1a,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00082,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l519_img2455_d001_animal,location=519 video=51901 frame=54,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00083,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l119_img5754_d001_animal,location=119 video=11903 frame=153,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00084,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4906_d001_animal,location=526 video=52602 frame=105,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00085,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l119_img5658_d001_animal,location=119 video=11901 frame=57,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00086,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4977_d001_animal,location=526 video=52604 frame=176,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00087,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0595E-1278N_2383_3079_13::2019-12->2020-01::1075->1075::81b09231b18e8021->81b09231b18e8021,aoi=L15-0595E-1278N_2383_3079_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00088,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l256_img4619_d001_animal,location=256 video=25600 frame=18,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00089,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::7004->7004::f648cc40c4bf952a->f648cc40c4bf952a,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00090,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l449_img4025_d001_animal,location=449 video=44900 frame=24,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00091,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l392_img3139_d001_animal,location=392 video=39203 frame=138,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00092,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l119_img5781_d001_animal,location=119 video=11904 frame=180,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00093,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l105_img5947_d001_animal,location=105 video=10503 frame=146,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00094,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l392_img3002_d001_animal,location=392 video=39200 frame=1,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00095,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::505->505::2242698d2af0c4ad->2242698d2af0c4ad,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00096,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l57_img3317_d001_animal,location=57 video=5702 frame=116,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00097,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l519_img2540_d001_animal,location=519 video=51903 frame=139,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00098,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l119_img5696_d001_animal,location=119 video=11902 frame=95,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00099,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l176_img5456_d001_animal,location=176 video=17601 frame=55,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00100,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0595E-1278N_2383_3079_13::2019-12->2020-01::993->993::9322fb98725af709->9322fb98725af709,aoi=L15-0595E-1278N_2383_3079_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00101,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::3060->3060::e3dce91dd2c1bd89->e3dce91dd2c1bd89,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00102,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l456_img423_d001_animal,location=456 video=45600 frame=22,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00103,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l529_img5392_d001_animal,location=529 video=52904 frame=191,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
