audit_item_id,packet,strong_model_id,strong_model_label,strong_model_confidence,strong_model_support_score,model_reason,image_pair_available,source_image_sha256,target_image_sha256,center_distance_px,normalized_distance,bbox_area_ratio,crop_ncc,template_best_ncc,template_pred_target_distance_px,source_center_segmented,target_center_segmented,frame_gap,evidence_scope
CTC-PHASE81-0043,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,0.624578,mixed image-template and geometry evidence; route to human adjudication if used evidentially,True,ea67c78f1bf1ec6b763df47cb17fee4dd6a503433b314b90fbd339853aecfdc4,273bd2f83aad60de086e4a9cf69080b23bdff0ef6ee123f3929b8e9f44a31cd4,0.0,0.0,1.0,-0.000153,0.177961,94.641429,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0045,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,0.591685,mixed image-template and geometry evidence; route to human adjudication if used evidentially,True,38f7143c60c4fbfec6893e63ef1bd8994ebbc4b3ea51bbcba5e8ac06b5446d00,4102668104e9c78bc136ae4a6af2e5278d20a475cc66989b486e871dc0de7afa,2.0,0.048766,1.0,0.1769,0.13665,97.18539,False,False,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0057,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,0.774822,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,9112efc39b8fc17e307d4470f31959b0e0aff65e2a58f2201f64410e19f72af3,ec99e07ff642de1e06ca3d0ec1f602d0a7b75ad1026c49a8f0bf9a884698c70e,2.0,0.140158,0.692308,0.592066,0.66535,9.055385,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0059,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,0.957518,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,ef857ec4d4e3b752b455ec8e7debd67089a20a4cde85468a1f5507043f0fcc1d,36fe1ec28805cdeb934719e30087f603de59818b91f09f0ba6e23f05d2e3470d,0.0,0.0,1.0,0.944223,0.954795,1.414214,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0063,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,0.940802,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,eb66d421c7a60a7dbd70b2c609bc6f1a1846f7d0911e46de2cc701331798db5a,4b23be14f754c6fe5ac5d200c1b86a538a07a985eceac4172982c8b7f37aee3f,0.5,0.067198,0.833333,0.955009,0.986769,1.0,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0067,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,0.684732,mixed image-template and geometry evidence; route to human adjudication if used evidentially,True,076b4d1643ea4d0aded4d2609b3daa32bd56fd66aa5c25de2f0b3764af235a81,649a416aa7ce4f230f84b1b6ab51534582eb916083d07b25f6216cd70bc200ea,2.236068,1.581139,1.0,0.665789,0.870477,1.0,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0068,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,0.626348,mixed image-template and geometry evidence; route to human adjudication if used evidentially,True,627752552e6acd1d3280ae9c05ef6a4e7bf18f7b835515b21ed8a6ececf1656d,2e847d0b7c27f75152cbb0ad88a0ed3d7a100dc0abf5ec7a050e6c4c992e1144,0.0,0.0,1.0,0.037911,0.141576,88.865066,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0071,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,0.722745,mixed image-template and geometry evidence; route to human adjudication if used evidentially,True,9f7e31ca72aec25a3b9e6b9a635a6a2052d9b275b9a313a4d6eda80a4687a546,791b0d9d8a6a684019031eabd5c8409a654a2e87b65e28196544569210377736,0.0,0.0,1.0,0.022488,0.184264,14.317821,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0074,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,0.890243,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,32f7789e7c1f110c395e341a2443f94b2152cdef138bcce163f52fd1929116a8,359ff968fe67597980720e7414e5dffc0742c93d600a874f75cc671b252b894f,0.5,0.067198,0.833333,0.862617,0.922298,2.828427,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0085,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,0.924254,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,b1a62136dd29a0e814624eea0abbb6b1dee483368fa0820057a5cd84ffa2fa4c,708af23ee5dd973f968b439f7cd3159a22d1cd6e458f93c4c3e9d1d789637e87,1.118034,0.019888,0.927439,0.803263,0.669761,1.414214,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0086,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,0.835134,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,dde4ab56325543ef67972be9b66f93f78ace014f04c65f8e4a3dce314d0b2e56,425320898bb47a02240e3231091bbf8950f10ee4f5d3dd5d4b7d7111a5e22381,3.605551,0.124329,0.675889,0.824282,0.835586,3.162278,False,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0089,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,0.596589,mixed image-template and geometry evidence; route to human adjudication if used evidentially,True,0934da7c01b7034165795ea8be59a47ecb7e458cc453bfd0343271b15d7b17a6,ad4b3baa8099e5082a9c076dadcd185b8fdf76798b8c98779baf06e79e7feccd,1.5,0.074408,0.808889,0.354778,0.312369,73.027392,False,False,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0092,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,0.887951,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,f66c11ba5ecd9eaa6a481cf5c43c28619ec6966dadb00aa7a1716c43ada3e990,cf0c2ce3d7d4081f28061ac3b077de54b5edd20bdaa04f59ccc76a194868b2f7,1.0,0.021427,1.0,0.83517,0.764095,21.023796,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0094,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,0.761774,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,d7310a1c25550dd2adf5a06c87cff6f43b103f049c2329550c0a084ab53e9ec6,b0e9a8ad13fbeec2f0e34e296fd6f939cbc0b81ec2ffd20949638fc6c8a764bf,0.0,0.0,1.0,0.042203,0.192258,6.082763,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0097,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,0.73537,mixed image-template and geometry evidence; route to human adjudication if used evidentially,True,d48b873252343f77e129899b0f5847a67e857f3d7bd5582dbd47d38e4e2e6a67,b8e74899576edff85e2a151107c262f0cd3c33a8f91a383d5f079a5ade7765df,3.0,0.707107,1.0,0.576394,0.85369,3.0,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0100,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,0.778011,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,c87a58b8602e4dbefd344c99584738a6f93f3d38cf375feb0be74c5e7b6bd5be,7020c50ca9576550406d6b8e81487ead69aa6f694982ae97755d4e83f777af39,1.118034,0.019885,0.97561,0.793569,0.768447,198.010101,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0106,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,0.62895,mixed image-template and geometry evidence; route to human adjudication if used evidentially,True,f6b8e73ac039c2d53bf81acfe687c205b4e6f46d478c7259fe11c80195fcbdcf,502fe36c357ba15f051cccf09a0069a798315f17495e6357905565e2a3a57fe1,0.0,0.0,1.0,0.06956,0.174327,128.456218,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0112,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,0.92287,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,139e6a4ec57154a73dcdf57d3931b6ee1ac831b949ecac07918876e29ecd128c,6662d7ad77fa0602dfa8d5430cf5bf6beacc1ebe925c915168639bd196c6bf96,3.162278,0.065732,0.944444,0.717738,0.847416,2.0,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0116,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,0.758004,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,d7310a1c25550dd2adf5a06c87cff6f43b103f049c2329550c0a084ab53e9ec6,b0e9a8ad13fbeec2f0e34e296fd6f939cbc0b81ec2ffd20949638fc6c8a764bf,0.0,0.0,1.0,0.045225,0.165734,6.324555,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0118,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,0.811269,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,d8a3f8c68c045ee41fb0c1a254c66e74ba96ecf11c320d098046915fec5697a1,6269d5c5b75af676d3cc54069e452520ab5ab3f59f7d90a541f788f561036966,4.949747,0.367912,1.0,0.461254,0.905629,4.242641,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0136,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,0.76808,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,8aa1e9bc964cc2ae107e9f68d164b04020c2b0e9a6c8a518e13fcf7c2595cdba,8aa910a093e33f66da6805ec680d5e145fd1cab5ef2a7e4cbe52e36e99f1729e,0.0,0.0,1.0,0.063318,0.214953,5.830952,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0138,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,0.728305,mixed image-template and geometry evidence; route to human adjudication if used evidentially,True,a992a70b86207ca481b9a638080c9b23621b293915d8c3bbf36014f4e450da87,9d28c973470472880d104bc8e22bdceb894ba16a7003b5c395954a8c27aadf94,0.0,0.0,1.0,-0.015609,0.183724,11.7047,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0141,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,0.828035,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,10f406526628dd4dfad26f314a451f726ea702b81f5026bb89f882c236834429,6efab203f87119246fd0afe2a65b8450c95322f9aadcf01cbd38c4f9251edc97,4.527693,0.336541,1.0,0.599849,0.881805,4.472136,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0151,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,0.801876,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,4e8ea3ee871ba174f1b32bd99190adea8926620696c2fe0f89d9295ddec0b787,cd99e824a58412d791481517e5a23b564eda9e31f3c2aa4faa64b5022b009f91,0.0,0.0,1.0,0.102287,0.25743,1.414214,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0154,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,0.710292,mixed image-template and geometry evidence; route to human adjudication if used evidentially,True,7ae9e839324c81146c79234171fc05b2fbdc209b513e8a2e8a63e8d716a838f6,b94febc88f8aacef154f0f2b9da9aab740411118e10c06fc597413827a5cec38,9.055385,0.582102,1.0,0.170449,0.886661,10.0,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0159,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,0.651779,mixed image-template and geometry evidence; route to human adjudication if used evidentially,True,521907e73072bdd60f895c2816cc4e44c09e98b8d8e15abd4733b57b5939ebca,85e95610575fb138e16791be7329979ac3a41b401d1b7b15c1aab6596a23cd53,0.0,0.0,1.0,0.10872,0.186015,59.933296,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0162,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,0.792884,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,45c9359f256e974cd9a18f1f07c0f647d4d81eb4ce916ce7064a8c2cfd9ad370,8e991d4577d85d254cc1e30b24552e3f6c2138dd0d56c7e480f7ff14eb5b56a4,2.0,0.282843,1.0,0.52178,0.799229,4.0,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0168,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,0.957044,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,5795d96537c7647efc8a8924027ee866a43267e1d017ed4320492c52aadd70f2,1e194987ba21ed38c2af0e623c9533758b71e63573ba99ce26d196ac28cb9f36,0.0,0.0,1.0,0.948403,0.978247,2.236068,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0170,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,0.751459,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,dac5b66c2e2cf8d7c98dcd5c3ffd1ffece57996f0eb8f697d14831ec517e5a01,0a41bad3c81cf47727d565fccef2ddb4cd4aec87dcd3b8f37ce489b369b694d1,0.5,0.008673,0.843126,0.743977,0.583305,137.673527,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0172,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,0.843494,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,e4a6754e71a359c0cbea66bfc5242bcda27325d03aa5de9fdd1d7f45936f4864,5a17dfaf2d629320dccc12f760b348d02a03710d232a538a6e080ca8a30203da,0.0,0.0,1.0,0.730258,0.864382,48.0,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
