dataset,task,source,policy,alpha1,rows,released_mean,released_sum,UTR_mean,audited_FTR_mean,conservative_FTR_mean,mass_ratio_mean,empty_reason_examples,has_alpha_control,release_decision,source_table
ovtb,published_tracker_output,ovtr,PARC_certified_wrapper,0.2,3,0.0,0.0,0.0,,,0.659432766242258,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_published_tracker_certification.csv
ovtb,published_tracker_output,ovtr,raw_tracker_topM,0.1,3,150.0,450.0,1.0,,1.0,,,False,release,reliability_fortress/table_published_tracker_certification.csv
ovtb,published_tracker_output,ovtr,raw_tracker_topM,0.2,3,150.0,450.0,1.0,,1.0,,,False,release,reliability_fortress/table_published_tracker_certification.csv
tao,published_tracker_output,ovtr,PARC_certified_wrapper,0.1,3,0.0,0.0,0.0,,,0.3063312599447548,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_published_tracker_certification.csv
tao,published_tracker_output,ovtr,PARC_certified_wrapper,0.2,3,0.0,0.0,0.0,,,0.6126625198895096,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_published_tracker_certification.csv
tao,published_tracker_output,ovtr,raw_tracker_topM,0.1,3,150.0,450.0,1.0,,1.0,,,False,release,reliability_fortress/table_published_tracker_certification.csv
tao,published_tracker_output,ovtr,raw_tracker_topM,0.2,3,150.0,450.0,1.0,,1.0,,,False,release,reliability_fortress/table_published_tracker_certification.csv
OVT-B,blackbox_generator_output,GroundingDINO,PARC_certified_release_or_refusal,0.1,2,163.66666666666663,327.33333333333326,0.02323379766844485,,0.0124132664822498,,,True,release,reliability_fortress/table_blackbox_generator_certification.csv
OVT-B,blackbox_generator_output,GroundingDINO,PARC_certified_release_or_refusal,0.2,1,150.0,150.0,0.0199999999999999,,0.011111111111111,,,True,release,reliability_fortress/table_blackbox_generator_certification.csv
TAO,blackbox_generator_output,GroundingDINO,PARC_certified_release_or_refusal,0.1,2,49.5,99.0,0.0033848797250859,,0.0,,certified_refusal_or_empty_mean,True,release,reliability_fortress/table_blackbox_generator_certification.csv
TAO,blackbox_generator_output,GroundingDINO,PARC_certified_release_or_refusal,0.2,1,147.33333333333334,147.33333333333334,0.0245696400625977,,0.0177777777777777,,,True,release,reliability_fortress/table_blackbox_generator_certification.csv
OVT-B,blackbox_generator_output,GroundingDINO detector-only,PARC_certified_release_or_refusal,0.1,3,135.0,405.0,0.021904761904761868,,0.012063492063492033,1.5388764713654675,,True,release,reliability_fortress/table_blackbox_generator_certification.csv
OVT-B,blackbox_generator_output,GroundingDINO detector-only,PARC_certified_release_or_refusal,0.2,3,150.0,450.0,0.019999999999999966,,0.011111111111111066,3.025894904236384,,True,release,reliability_fortress/table_blackbox_generator_certification.csv
TAO,blackbox_generator_output,GroundingDINO detector-only,PARC_certified_release_or_refusal,0.1,3,0.0,0.0,0.0,,0.0,0.022625640196445803,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_blackbox_generator_certification.csv
TAO,blackbox_generator_output,GroundingDINO detector-only,PARC_certified_release_or_refusal,0.2,3,147.33333333333334,442.0,0.024569640062597764,,0.017777777777777733,1.1198408255334134,,True,release,reliability_fortress/table_blackbox_generator_certification.csv
OVT-B,blackbox_generator_output,OWL-ViT v1,PARC_certified_release_or_refusal,0.1,3,0.0,0.0,0.0,,0.0,0.0022662357985632,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_blackbox_generator_certification.csv
OVT-B,blackbox_generator_output,OWL-ViT v1,PARC_certified_release_or_refusal,0.2,3,0.0,0.0,0.0,,0.0,0.004532471597126434,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_blackbox_generator_certification.csv
TAO,blackbox_generator_output,OWL-ViT v1,PARC_certified_release_or_refusal,0.1,3,0.0,0.0,0.0,,0.0,0.002111881269867033,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_blackbox_generator_certification.csv
TAO,blackbox_generator_output,OWL-ViT v1,PARC_certified_release_or_refusal,0.2,3,0.0,0.0,0.0,,0.0,0.0042237625397341,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_blackbox_generator_certification.csv
OVT-B,blackbox_generator_output,OWLv2,PARC_certified_release_or_refusal,0.1,3,0.0,0.0,0.0,,0.0,0.0296081659220513,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_blackbox_generator_certification.csv
OVT-B,blackbox_generator_output,OWLv2,PARC_certified_release_or_refusal,0.2,3,0.0,0.0,0.0,,0.0,0.059216331844102695,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_blackbox_generator_certification.csv
TAO,blackbox_generator_output,OWLv2,PARC_certified_release_or_refusal,0.1,3,0.0,0.0,0.0,,0.0,0.025155927015123602,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_blackbox_generator_certification.csv
TAO,blackbox_generator_output,OWLv2,PARC_certified_release_or_refusal,0.2,3,0.0,0.0,0.0,,0.0,0.05031185403024724,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_blackbox_generator_certification.csv
ovtb,blackbox_generator_output,ovtb_baseline,PARC_certified_release_or_refusal,0.1,3,0.0,0.0,0.0,,0.0,0.22559195006063493,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_blackbox_generator_certification.csv
ovtb,blackbox_generator_output,ovtb_baseline,PARC_certified_release_or_refusal,0.2,3,0.0,0.0,0.0,,0.0,0.45118390012126985,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_blackbox_generator_certification.csv
tao,blackbox_generator_output,ovtb_baseline,PARC_certified_release_or_refusal,0.1,3,0.0,0.0,0.0,,0.0,0.0885361399308547,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_blackbox_generator_certification.csv
tao,blackbox_generator_output,ovtb_baseline,PARC_certified_release_or_refusal,0.2,3,0.0,0.0,0.0,,0.0,0.17707227986170948,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_blackbox_generator_certification.csv
ovtb,blackbox_generator_output,ovtr,PARC_certified_release_or_refusal,0.1,3,0.0,0.0,0.0,,0.0,0.329716383121129,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_blackbox_generator_certification.csv
ovtb,blackbox_generator_output,ovtr,PARC_certified_release_or_refusal,0.2,3,0.0,0.0,0.0,,0.0,0.659432766242258,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_blackbox_generator_certification.csv
tao,blackbox_generator_output,ovtr,PARC_certified_release_or_refusal,0.1,3,0.0,0.0,0.0,,0.0,0.3063312599447548,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_blackbox_generator_certification.csv
tao,blackbox_generator_output,ovtr,PARC_certified_release_or_refusal,0.2,3,0.0,0.0,0.0,,0.0,0.6126625198895096,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_blackbox_generator_certification.csv
