audit_item_id,ctc_dataset,sequence_id,frame_start,frame_end,source_image_path,source_frame_index,source_bbox_x,source_bbox_y,source_bbox_w,source_bbox_h,target_image_path,target_frame_index,target_bbox_x,target_bbox_y,target_bbox_w,target_bbox_h,ai_label,ai_confidence,ai_support_score,ai_reason,human_label,human_confidence,human_notes,human_accepts_ai_label
CTC-PHASE81-0095,Fluo-N2DL-HeLa,2,39,40,Fluo-N2DL-HeLa/02/t039,39,682,196,5,5,Fluo-N2DL-HeLa/02/t040,40,682,196,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0099,Fluo-N2DL-HeLa,2,3,4,Fluo-N2DL-HeLa/02/t003,3,640,127,5,5,Fluo-N2DL-HeLa/02/t004,4,640,127,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0101,Fluo-N2DL-HeLa,2,22,23,Fluo-N2DL-HeLa/02/t022,22,484,122,5,5,Fluo-N2DL-HeLa/02/t023,23,484,122,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0102,Fluo-N2DL-HeLa,2,38,39,Fluo-N2DL-HeLa/02/t038,38,368,525,5,5,Fluo-N2DL-HeLa/02/t039,39,368,525,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0103,Fluo-N2DL-HeLa,2,26,27,Fluo-N2DL-HeLa/02/t026,26,767,59,5,5,Fluo-N2DL-HeLa/02/t027,27,767,59,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0108,Fluo-N2DL-HeLa,2,22,23,Fluo-N2DL-HeLa/02/t022,22,909,345,5,5,Fluo-N2DL-HeLa/02/t023,23,909,345,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0109,Fluo-N2DL-HeLa,2,27,28,Fluo-N2DL-HeLa/02/t027,27,417,535,5,5,Fluo-N2DL-HeLa/02/t028,28,417,535,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0110,Fluo-N2DL-HeLa,2,33,34,Fluo-N2DL-HeLa/02/t033,33,614,269,5,5,Fluo-N2DL-HeLa/02/t034,34,614,269,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0113,Fluo-N2DL-HeLa,2,32,33,Fluo-N2DL-HeLa/02/t032,32,721,328,5,5,Fluo-N2DL-HeLa/02/t033,33,721,328,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0115,PhC-C2DH-U373,2,17,18,PhC-C2DH-U373/02/t017,17,63,243,9,9,PhC-C2DH-U373/02/t018,18,64,243,9,9,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0117,Fluo-N2DL-HeLa,2,25,26,Fluo-N2DL-HeLa/02/t025,25,439,644,5,5,Fluo-N2DL-HeLa/02/t026,26,439,644,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0121,Fluo-N2DL-HeLa,2,10,11,Fluo-N2DL-HeLa/02/t010,10,764,61,5,5,Fluo-N2DL-HeLa/02/t011,11,764,61,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0124,Fluo-N2DL-HeLa,2,40,41,Fluo-N2DL-HeLa/02/t040,40,725,120,5,5,Fluo-N2DL-HeLa/02/t041,41,725,120,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0126,Fluo-N2DL-HeLa,2,32,33,Fluo-N2DL-HeLa/02/t032,32,757,450,5,5,Fluo-N2DL-HeLa/02/t033,33,757,450,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0127,Fluo-N2DL-HeLa,2,30,31,Fluo-N2DL-HeLa/02/t030,30,313,429,5,5,Fluo-N2DL-HeLa/02/t031,31,313,429,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0130,Fluo-N2DL-HeLa,2,8,9,Fluo-N2DL-HeLa/02/t008,8,566,218,5,5,Fluo-N2DL-HeLa/02/t009,9,566,218,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0131,Fluo-N2DL-HeLa,2,8,9,Fluo-N2DL-HeLa/02/t008,8,490,663,5,5,Fluo-N2DL-HeLa/02/t009,9,490,663,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0132,Fluo-N2DL-HeLa,2,24,25,Fluo-N2DL-HeLa/02/t024,24,539,284,5,5,Fluo-N2DL-HeLa/02/t025,25,539,284,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0133,Fluo-N2DL-HeLa,2,13,14,Fluo-N2DL-HeLa/02/t013,13,584,286,5,5,Fluo-N2DL-HeLa/02/t014,14,584,286,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0134,Fluo-N2DL-HeLa,2,45,46,Fluo-N2DL-HeLa/02/t045,45,907,272,5,5,Fluo-N2DL-HeLa/02/t046,46,907,272,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0135,Fluo-N2DL-HeLa,2,16,17,Fluo-N2DL-HeLa/02/t016,16,493,298,5,5,Fluo-N2DL-HeLa/02/t017,17,493,298,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0143,Fluo-N2DL-HeLa,2,5,6,Fluo-N2DL-HeLa/02/t005,5,618,168,5,5,Fluo-N2DL-HeLa/02/t006,6,618,168,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0145,Fluo-N2DL-HeLa,2,24,25,Fluo-N2DL-HeLa/02/t024,24,449,205,5,5,Fluo-N2DL-HeLa/02/t025,25,449,205,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0147,Fluo-N2DL-HeLa,2,5,6,Fluo-N2DL-HeLa/02/t005,5,405,368,5,5,Fluo-N2DL-HeLa/02/t006,6,405,368,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0152,Fluo-N2DL-HeLa,2,28,29,Fluo-N2DL-HeLa/02/t028,28,675,533,5,5,Fluo-N2DL-HeLa/02/t029,29,675,533,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0156,Fluo-N2DL-HeLa,2,17,18,Fluo-N2DL-HeLa/02/t017,17,960,308,5,5,Fluo-N2DL-HeLa/02/t018,18,960,308,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0157,Fluo-N2DL-HeLa,2,34,35,Fluo-N2DL-HeLa/02/t034,34,644,594,5,5,Fluo-N2DL-HeLa/02/t035,35,644,594,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0158,Fluo-N2DL-HeLa,2,11,12,Fluo-N2DL-HeLa/02/t011,11,542,274,5,5,Fluo-N2DL-HeLa/02/t012,12,542,274,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0163,Fluo-N2DL-HeLa,2,74,75,Fluo-N2DL-HeLa/02/t074,74,681,113,5,5,Fluo-N2DL-HeLa/02/t075,75,681,113,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0166,Fluo-N2DL-HeLa,2,43,44,Fluo-N2DL-HeLa/02/t043,43,620,626,5,5,Fluo-N2DL-HeLa/02/t044,44,620,626,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0169,Fluo-N2DL-HeLa,2,42,43,Fluo-N2DL-HeLa/02/t042,42,437,614,5,5,Fluo-N2DL-HeLa/02/t043,43,437,614,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0171,Fluo-N2DL-HeLa,2,23,24,Fluo-N2DL-HeLa/02/t023,23,499,518,5,5,Fluo-N2DL-HeLa/02/t024,24,499,518,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0174,Fluo-N2DL-HeLa,2,31,32,Fluo-N2DL-HeLa/02/t031,31,623,101,5,5,Fluo-N2DL-HeLa/02/t032,32,623,101,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0176,Fluo-N2DL-HeLa,2,43,44,Fluo-N2DL-HeLa/02/t043,43,437,614,5,5,Fluo-N2DL-HeLa/02/t044,44,437,614,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0177,Fluo-N2DL-HeLa,2,12,13,Fluo-N2DL-HeLa/02/t012,12,759,381,5,5,Fluo-N2DL-HeLa/02/t013,13,759,381,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0181,Fluo-N2DL-HeLa,2,31,32,Fluo-N2DL-HeLa/02/t031,31,728,26,5,5,Fluo-N2DL-HeLa/02/t032,32,728,26,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0183,Fluo-N2DL-HeLa,2,27,28,Fluo-N2DL-HeLa/02/t027,27,785,655,5,5,Fluo-N2DL-HeLa/02/t028,28,785,655,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0184,Fluo-N2DL-HeLa,2,40,41,Fluo-N2DL-HeLa/02/t040,40,395,481,5,5,Fluo-N2DL-HeLa/02/t041,41,395,481,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0185,Fluo-N2DL-HeLa,2,10,11,Fluo-N2DL-HeLa/02/t010,10,572,92,5,5,Fluo-N2DL-HeLa/02/t011,11,572,92,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0191,Fluo-N2DL-HeLa,2,46,47,Fluo-N2DL-HeLa/02/t046,46,566,252,5,5,Fluo-N2DL-HeLa/02/t047,47,566,252,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0192,Fluo-N2DL-HeLa,2,10,11,Fluo-N2DL-HeLa/02/t010,10,529,329,5,5,Fluo-N2DL-HeLa/02/t011,11,529,329,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0197,Fluo-N2DL-HeLa,2,25,26,Fluo-N2DL-HeLa/02/t025,25,484,120,5,5,Fluo-N2DL-HeLa/02/t026,26,484,120,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0198,Fluo-N2DL-HeLa,2,11,12,Fluo-N2DL-HeLa/02/t011,11,764,61,5,5,Fluo-N2DL-HeLa/02/t012,12,764,61,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0200,Fluo-N2DL-HeLa,2,27,28,Fluo-N2DL-HeLa/02/t027,27,720,382,5,5,Fluo-N2DL-HeLa/02/t028,28,720,382,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0201,PhC-C2DH-U373,2,42,43,PhC-C2DH-U373/02/t042,42,95,265,10,9,PhC-C2DH-U373/02/t043,43,96,265,9,9,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0204,Fluo-N2DL-HeLa,2,25,26,Fluo-N2DL-HeLa/02/t025,25,728,29,5,5,Fluo-N2DL-HeLa/02/t026,26,728,29,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0205,Fluo-N2DL-HeLa,2,15,16,Fluo-N2DL-HeLa/02/t015,15,637,129,5,5,Fluo-N2DL-HeLa/02/t016,16,637,129,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0208,Fluo-N2DL-HeLa,2,6,7,Fluo-N2DL-HeLa/02/t006,6,427,602,5,5,Fluo-N2DL-HeLa/02/t007,7,427,602,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0209,Fluo-N2DL-HeLa,2,41,42,Fluo-N2DL-HeLa/02/t041,41,574,60,5,5,Fluo-N2DL-HeLa/02/t042,42,574,60,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0210,Fluo-N2DL-HeLa,2,10,11,Fluo-N2DL-HeLa/02/t010,10,782,423,5,5,Fluo-N2DL-HeLa/02/t011,11,782,423,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0211,Fluo-N2DL-HeLa,2,28,29,Fluo-N2DL-HeLa/02/t028,28,439,642,5,5,Fluo-N2DL-HeLa/02/t029,29,439,642,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0213,Fluo-N2DL-HeLa,2,53,54,Fluo-N2DL-HeLa/02/t053,53,726,532,5,5,Fluo-N2DL-HeLa/02/t054,54,726,532,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0214,Fluo-N2DL-HeLa,2,16,17,Fluo-N2DL-HeLa/02/t016,16,726,32,5,5,Fluo-N2DL-HeLa/02/t017,17,726,32,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0215,Fluo-N2DL-HeLa,2,19,20,Fluo-N2DL-HeLa/02/t019,19,529,105,5,5,Fluo-N2DL-HeLa/02/t020,20,529,105,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0216,Fluo-N2DL-HeLa,2,22,23,Fluo-N2DL-HeLa/02/t022,22,409,593,5,5,Fluo-N2DL-HeLa/02/t023,23,409,593,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0219,Fluo-N2DL-HeLa,2,0,1,Fluo-N2DL-HeLa/02/t000,0,491,663,5,5,Fluo-N2DL-HeLa/02/t001,1,491,663,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0224,Fluo-N2DL-HeLa,2,15,16,Fluo-N2DL-HeLa/02/t015,15,783,422,5,5,Fluo-N2DL-HeLa/02/t016,16,783,422,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0225,Fluo-N2DL-HeLa,2,26,27,Fluo-N2DL-HeLa/02/t026,26,727,328,5,5,Fluo-N2DL-HeLa/02/t027,27,727,328,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0231,Fluo-N2DL-HeLa,2,23,24,Fluo-N2DL-HeLa/02/t023,23,495,402,5,5,Fluo-N2DL-HeLa/02/t024,24,495,402,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0232,Fluo-N2DL-HeLa,2,33,34,Fluo-N2DL-HeLa/02/t033,33,385,479,5,5,Fluo-N2DL-HeLa/02/t034,34,385,479,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0235,Fluo-N2DL-HeLa,2,14,15,Fluo-N2DL-HeLa/02/t014,14,805,655,5,5,Fluo-N2DL-HeLa/02/t015,15,805,655,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
