dataset,video_id,path_id,query,category_id,score,candidate_rank,is_matched_to_gt,matched_iou,label,reason,auditor,confidence,review_status,verified_positive_for_calibration
OVT-B,800,ovtb_v800_p018651,woodpecker,1043,0.8161261677742004,130,False,0.5415051471918688,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,993,ovtb_v993_p022692,seal,804,0.8710915595293045,44,False,0.432284023527368,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,659,ovtb_v659_p015929,baseball glove,55,0.8395067602396011,87,False,0.3434936444323189,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,1376,ovtb_v1376_p030392,bird,93,0.8615615591406822,58,False,0.2281777983834473,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,665,ovtb_v665_p016043,bird,93,0.8861383348703384,33,False,0.0931521338513803,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,414,ovtb_v414_p011129,playpen,694,0.8290464729070663,111,True,0.5621925229283491,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,1392,ovtb_v1392_p030622,bird,93,0.917807474732399,9,False,0.1708077858513013,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,114,ovtb_v114_p005294,elephant,341,0.8395208790898323,86,False,0.5096896525318206,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,941,ovtb_v941_p021663,frisbee,389,0.8368773460388184,93,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
OVT-B,308,ovtb_v308_p008821,coffee maker,231,0.8384545147418976,91,False,0.5044267327309686,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,972,ovtb_v972_p022269,protractor,725,0.8090004622936249,141,True,0.5512703882901796,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,233,ovtb_v233_p007137,heron,467,0.911339096724987,11,False,0.5126123381585322,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,1109,ovtb_v1109_p025267,go-kart,414,0.8589165359735489,59,False,0.0,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,1691,ovtb_v1691_p036072,okra,630,0.8666196241974831,52,False,0.4231402627119505,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,734,ovtb_v734_p017202,jellyfish,501,0.8762421011924744,39,True,0.6169477747257643,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,1282,ovtb_v1282_p028693,tv,984,0.8531808257102966,69,True,0.5856540090847938,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,754,ovtb_v754_p017673,ping-pong ball,685,0.8242089748382568,120,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
OVT-B,969,ovtb_v969_p022235,computer box,239,0.9286273941397668,5,False,0.4705986710672763,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,1039,ovtb_v1039_p023741,fire truck,360,0.8716931045055389,42,False,0.4174370373934237,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,1696,ovtb_v1696_p036189,blimp,100,0.8133360221982002,136,False,0.2014921218981192,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,1162,ovtb_v1162_p026352,oboe,625,0.923184260725975,8,False,0.2032325338617019,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,941,ovtb_v941_p021660,frisbee,389,0.8697337731719017,47,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
OVT-B,129,ovtb_v129_p005574,bird,93,0.8931703045964241,26,False,0.47754488970394,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,649,ovtb_v649_p015750,bird,93,0.8179866373538971,128,False,0.2820945249142239,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,1965,ovtb_v1965_p042832,shark,812,0.8194852471351624,126,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
OVT-B,79,ovtb_v79_p004660,whale,1025,0.853769838809967,67,False,0.0,uncertain,insufficient_visual_evidence_in_contact_sheet,human_visual_audit_v2_user_review_aware,medium,reviewed,no
OVT-B,180,ovtb_v180_p006261,coin,234,0.8191778659820557,127,False,0.4690519204304912,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
OVT-B,283,ovtb_v283_p008179,loader,550,0.8245555832982063,118,False,0.3968249203366838,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,1100,ovtb_v1100_p025096,doughnut,299,0.8437927762667338,79,True,0.9894932000346068,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,1473,ovtb_v1473_p031972,rice cooker,761,0.8532317653298378,68,True,0.5486167337721235,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,406,ovtb_v406_p010939,snowman,849,0.8540492504835129,66,True,0.5625619313356512,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,1009,ovtb_v1009_p022932,bird,93,0.8392642512917519,89,False,0.4293565925243912,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,897,ovtb_v897_p020834,bird,93,0.8811574652791023,37,False,0.4221522283215047,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,729,ovtb_v729_p017176,pirate flag,688,0.8872856423258781,32,True,0.5608275418758532,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,746,ovtb_v746_p017363,bird,93,0.8336912915110588,102,False,0.4730883478724882,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,5976,ovtb_v5976_p059288,water bottle,1184,0.8131153285503387,80,False,0.2049495870992297,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,4971,ovtb_v4971_p048319,giraffe,502,0.84129399061203,45,False,0.0495726705689632,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,4677,ovtb_v4677_p044020,giraffe,502,0.784376785159111,134,False,0.2093676537823284,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,4916,ovtb_v4916_p047271,giraffe,502,0.8916636109352112,14,True,0.5438933563587274,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,1955,ovtb_v1955_p013452,cow,81,0.8761782844861349,20,False,0.317197837213948,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,5294,ovtb_v5294_p050739,giraffe,502,0.9170736968517303,7,False,0.0,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,4941,ovtb_v4941_p047785,skateboard,980,0.8387879431247711,49,False,0.0,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,4773,ovtb_v4773_p045210,surfboard,1057,0.792477548122406,123,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,3296,ovtb_v3296_p023224,kite,621,0.795279324054718,116,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,3382,ovtb_v3382_p024003,tennis racket,1099,0.830984890460968,56,False,0.0,uncertain,insufficient_visual_evidence_in_contact_sheet,human_visual_audit_v2_user_review_aware,medium,reviewed,no
TAO,1769,ovtb_v1769_p012100,surfboard,1057,0.7848748564720154,132,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,1681,ovtb_v1681_p011655,skateboard,980,0.886760950088501,17,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,4981,ovtb_v4981_p048439,surfboard,1057,0.8167888522148132,74,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,1711,ovtb_v1711_p011846,tiger,1108,0.7930451333522797,122,False,0.3941955623980598,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,1714,ovtb_v1714_p011863,umbrella,1155,0.794152557849884,119,False,0.3235095910816101,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,1836,ovtb_v1836_p012868,sheep,961,0.7860117554664612,130,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,4994,ovtb_v4994_p048529,giraffe,502,0.8437814936041832,44,False,0.4698445680052079,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,594,ovtb_v594_p003279,pumpkin,868,0.8077383875846863,87,False,0.2010784380537288,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,4807,ovtb_v4807_p045625,surfboard,1057,0.8301507830619812,58,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,5278,ovtb_v5278_p050364,cow,81,0.8595049679279327,33,False,0.0,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,4789,ovtb_v4789_p045424,skateboard,980,0.7973652482032776,111,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,1874,ovtb_v1874_p012961,lion,660,0.9108800888061525,9,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,4779,ovtb_v4779_p045291,ball,41,0.808479368686676,86,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,5082,ovtb_v5082_p048925,turtle,1152,0.8051008582115173,93,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,4882,ovtb_v4882_p046956,monkey,709,0.8063105680048466,91,True,0.5575626868329017,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,1769,ovtb_v1769_p012096,surfboard,1057,0.7820950746536255,141,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,4916,ovtb_v4916_p047266,giraffe,502,0.8964703679084778,11,True,0.5168157067769292,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,1905,ovtb_v1905_p013048,skateboard,980,0.8299371600151062,59,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,2834,ovtb_v2834_p019040,remote control,896,0.833687424659729,52,False,0.0,uncertain,insufficient_visual_evidence_in_contact_sheet,human_visual_audit_v2_user_review_aware,medium,reviewed,no
TAO,4935,ovtb_v4935_p047629,skateboard,980,0.8543239831924438,39,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,4788,ovtb_v4788_p045402,skateboard,980,0.8186070919036865,69,False,0.0,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,4807,ovtb_v4807_p045629,surfboard,1057,0.7936304807662964,120,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,594,ovtb_v594_p003280,pumpkin,868,0.9278195897738138,5,True,0.5610728967919038,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,4772,ovtb_v4772_p045198,skateboard,980,0.8493815064430237,42,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,4866,ovtb_v4866_p046579,shark,954,0.7840855121612549,136,False,0.0459296284225562,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,4836,ovtb_v4836_p045980,heron,569,0.911282166838646,8,False,0.4713749082341218,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,1659,ovtb_v1659_p011370,giraffe,502,0.8410526812076569,47,False,0.3431507234917733,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,1658,ovtb_v1658_p011363,spider,1016,0.8708056926727294,26,False,0.0088123251546735,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,4807,ovtb_v4807_p045623,surfboard,1057,0.7870349884033203,128,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,4779,ovtb_v4779_p045292,squirrel,1021,0.7873522043228149,126,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,3277,ovtb_v3277_p022981,saxophone,932,0.8208219408988953,67,False,0.0,uncertain,insufficient_visual_evidence_in_contact_sheet,human_visual_audit_v2_user_review_aware,medium,reviewed,no
TAO,5082,ovtb_v5082_p048904,turtle,1152,0.7870501056313515,127,False,0.0175254744700653,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,4807,ovtb_v4807_p045622,surfboard,1057,0.7946687340736389,118,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,4996,ovtb_v4996_p048572,horse,579,0.8135108947753906,79,False,0.5103453645752838,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,4935,ovtb_v4935_p047631,skateboard,980,0.8194893598556519,68,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,1831,ovtb_v1831_p012845,boat,118,0.8250575065612793,66,False,0.0281395920935793,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,4908,ovtb_v4908_p047250,zebra,1229,0.8065361529588699,89,False,0.4833368881686005,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,5446,ovtb_v5446_p052475,scissors,937,0.8548542857170105,37,False,0.3878416537260718,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
TAO,1769,ovtb_v1769_p012103,surfboard,1057,0.860410749912262,32,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
TAO,5365,ovtb_v5365_p051435,deer,363,0.8026862144470215,102,False,0.0980385457595681,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
