claim_uid,material_id,gnome_reduced_formula,gnome_chemical_system,gnome_n_sites,mp_chemsys,mp_formula_pretty,mp_material_id,mp_nsites,mp_symmetry_number,mp_symmetry_symbol,exact_reduced_formula_match,formula_prefilter_only,structure_matching_completed,current_stability_verdict_reported,evidence_scope
gnome_public_stable_materials::000ac4e4b5,000ac4e4b5,LaZn7Ag5,Ag-La-Zn,13,Ag-La-Zn,LaZnAg2,mp-1093913,4,71,Immm,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::000b1596d8,000b1596d8,Ta2Mn3Fe,Fe-Mn-Ta,12,Fe-Mn-Ta,Ta2MnFe,mp-1096013,4,71,Immm,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::000cdda9e0,000cdda9e0,Gd4Al17Pd7,Al-Gd-Pd,28,Al-Gd-Pd,GdAl3Pd2,mp-22505,6,191,P6/mmm,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::000cdda9e0,000cdda9e0,Gd4Al17Pd7,Al-Gd-Pd,28,Al-Gd-Pd,GdAlPd,mp-20058,9,189,P-62m,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::000d019289,000d019289,Ca6RhO8,Ca-O-Rh,15,Ca-O-Rh,Ca(RhO2)2,mp-17998,28,62,Pnma,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::000d019289,000d019289,Ca6RhO8,Ca-O-Rh,15,Ca-O-Rh,CaRhO3,mp-1016833,5,221,Pm-3m,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::000d019289,000d019289,Ca6RhO8,Ca-O-Rh,15,Ca-O-Rh,CaRhO3,mp-1078659,10,63,Cmcm,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::000d019289,000d019289,Ca6RhO8,Ca-O-Rh,15,Ca-O-Rh,CaRhO3,mp-1181917,20,62,Pnma,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::000d019289,000d019289,Ca6RhO8,Ca-O-Rh,15,Ca-O-Rh,CaRhO3,mp-1193602,30,11,P2_1/m,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::000d9a608b,000d9a608b,P2AuI9,Au-I-P,24,Au-I-P,P10Au7I,mp-27370,18,189,P-62m,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::000d9a608b,000d9a608b,P2AuI9,Au-I-P,24,Au-I-P,P10Au7I,mp-570238,18,162,P-31m,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::000de563ce,000de563ce,Er8B24IrRh3,B-Er-Ir-Rh,36,B-Er-Ir-Rh,ErB4(IrRh)2,mp-1225576,18,105,P4_2mc,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::000e39bcdd,000e39bcdd,Rb2Co3Br8,Br-Co-Rb,13,Br-Co-Rb,Rb2CoBr4,mp-23366,28,62,Pnma,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::000e39bcdd,000e39bcdd,Rb2Co3Br8,Br-Co-Rb,13,Br-Co-Rb,RbCoBr3,mp-1206319,10,194,P6_3/mmc,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::000e39bcdd,000e39bcdd,Rb2Co3Br8,Br-Co-Rb,13,Br-Co-Rb,RbCoBr3,mp-1209410,30,165,P-3c1,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::000e39bcdd,000e39bcdd,Rb2Co3Br8,Br-Co-Rb,13,Br-Co-Rb,RbCoBr3,mp-1209412,30,185,P6_3cm,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::000e39bcdd,000e39bcdd,Rb2Co3Br8,Br-Co-Rb,13,Br-Co-Rb,RbCoBr3,mp-1209578,30,158,P3c1,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00114c0c8d,00114c0c8d,La2Si7Rh12,La-Rh-Si,21,La-Rh-Si,La(SiRh)2,mp-5936,5,139,I4/mmm,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00114c0c8d,00114c0c8d,La2Si7Rh12,La-Rh-Si,21,La-Rh-Si,La2Si3Rh,mp-1191810,24,194,P6_3/mmc,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00114c0c8d,00114c0c8d,La2Si7Rh12,La-Rh-Si,21,La-Rh-Si,La2Si3Rh,mp-1211323,12,191,P6/mmm,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00114c0c8d,00114c0c8d,La2Si7Rh12,La-Rh-Si,21,La-Rh-Si,La2Si5Rh3,mp-8620,20,72,Ibam,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00114c0c8d,00114c0c8d,La2Si7Rh12,La-Rh-Si,21,La-Rh-Si,La3Si2Rh3,mp-601852,32,62,Pnma,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00114c0c8d,00114c0c8d,La2Si7Rh12,La-Rh-Si,21,La-Rh-Si,LaSi2Rh3,mp-1102955,12,74,Imma,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00114c0c8d,00114c0c8d,La2Si7Rh12,La-Rh-Si,21,La-Rh-Si,LaSi2Rh3,mp-29726,6,191,P6/mmm,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00114c0c8d,00114c0c8d,La2Si7Rh12,La-Rh-Si,21,La-Rh-Si,LaSi3Rh,mp-1070124,5,107,I4mm,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00114c0c8d,00114c0c8d,La2Si7Rh12,La-Rh-Si,21,La-Rh-Si,LaSiRh,mp-1103155,12,198,P2_13,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00115f2793,00115f2793,Zr14Pd19Au,Au-Pd-Zr,34,Au-Pd-Zr,Zr2PdAu,mp-1097538,4,71,Immm,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::00115f2793,00115f2793,Zr14Pd19Au,Au-Pd-Zr,34,Au-Pd-Zr,ZrPdAu2,mp-1096203,4,71,Immm,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
