dataset,video_id,path_id,split,query,category_id,score,objectness,semantic_margin,temporal_stability,association_score,frame_start,frame_end,path_length,candidate_rank,is_dummy,matched_gt_id,matched_iou,temporal_overlap,matched_frames,is_matched_to_gt,is_unmatched,audit_label,verified_positive_for_calibration,cell_id,novelty_bin,query_cluster,occ_bin,domain_bin,fallback_level,score_source
OVT-B,244,ovtb_v244_p003860,tune,person,669,0.902317889034748,0.902317889034748,0.902317889034748,8,0.875,0,29,8,37,False,2748.0,0.9934044235288494,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,100,ovtb_v100_p002971,test,whale,1025,0.9022035002708436,0.9022035002708436,0.9022035002708436,1,0.0,123,123,1,38,False,1932.0,0.9308900200164478,1.0,1,True,False,,no,cat:1025,unknown,whale,unknown,global,0,final_score_proxy
OVT-B,1267,ovtb_v1267_p011333,test,short pants,824,0.9021753072738647,0.9021753072738647,0.9021753072738647,1,0.0,0,0,1,39,False,9340.0,0.9711152504822104,1.0,1,True,False,,no,cat:824,unknown,short pants,unknown,global,0,final_score_proxy
OVT-B,591,ovtb_v591_p006315,cal,picnic basket,675,0.9017824456095695,0.9017824456095695,0.9017824456095695,8,0.875,0,19,8,40,False,5039.0,0.975795547059737,1.0,8,True,False,,no,cat:675,unknown,picnic basket,unknown,global,0,final_score_proxy
OVT-B,1331,ovtb_v1331_p011783,test,person,669,0.9016098529100418,0.9016098529100418,0.9016098529100418,8,0.875,0,23,8,41,False,9715.0,0.9829258431809996,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,47,ovtb_v47_p002638,cal,cattle,180,0.9015173763036728,0.9015173763036728,0.9015173763036728,8,0.875,0,188,8,42,False,1792.0,0.8733949715778401,1.0,8,True,False,,no,cat:180,unknown,cattle,unknown,global,0,final_score_proxy
OVT-B,1226,ovtb_v1226_p011043,test,person,669,0.9011348485946656,0.9011348485946656,0.9011348485946656,8,0.875,0,24,8,43,False,9007.0,0.9885344770870282,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,660,ovtb_v660_p006822,cal,person,669,0.9009786620736122,0.9009786620736122,0.9009786620736122,8,0.875,0,11,8,44,False,5463.0,0.990466014587746,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,409,ovtb_v409_p004998,tune,person,669,0.9009162336587906,0.9009162336587906,0.9009162336587906,8,0.875,0,14,8,45,False,3801.0,0.9919765014829908,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,90,ovtb_v90_p002919,cal,train,966,0.9007561579346656,0.9007561579346656,0.9007561579346656,8,0.875,0,415,8,46,False,1908.0,0.9914206561717388,1.0,8,True,False,,no,cat:966,unknown,train,unknown,global,0,final_score_proxy
OVT-B,654,ovtb_v654_p006772,test,person,669,0.9006014317274094,0.9006014317274094,0.9006014317274094,8,0.875,0,24,8,47,False,5431.0,0.9937179916719956,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1953,ovtb_v1953_p016502,test,person,669,0.9004445821046829,0.9004445821046829,0.9004445821046829,4,0.75,5,20,4,48,False,13626.0,0.8815476501174507,1.0,4,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1789,ovtb_v1789_p014847,test,spectacles,862,0.9004267230629921,0.9004267230629921,0.9004267230629921,8,0.875,0,23,8,49,False,12358.0,0.962857909261184,1.0,8,True,False,,no,cat:862,unknown,spectacles,unknown,global,0,final_score_proxy
OVT-B,1146,ovtb_v1146_p010450,test,person,669,0.9003778174519539,0.9003778174519539,0.9003778174519539,8,0.875,0,12,8,50,False,8582.0,0.8666720308614323,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,779,ovtb_v779_p007706,cal,person,669,0.9001801908016205,0.9001801908016205,0.9001801908016205,8,0.875,0,23,8,51,False,6170.0,0.9918400281921924,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1146,ovtb_v1146_p010451,test,person,669,0.9001565724611282,0.9001565724611282,0.9001565724611282,8,0.875,0,12,8,52,False,8580.0,0.9786814572159066,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,311,ovtb_v311_p004388,tune,person,669,0.899869404733181,0.899869404733181,0.899869404733181,8,0.875,0,23,8,53,False,3218.0,0.9926710097547192,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1189,ovtb_v1189_p010809,cal,brass plaque,125,0.8996793106198311,0.8996793106198311,0.8996793106198311,8,0.875,0,29,8,54,False,8795.0,0.991656447328588,1.0,8,True,False,,no,cat:125,unknown,brass plaque,unknown,global,0,final_score_proxy
OVT-B,1318,ovtb_v1318_p011704,cal,spectacles,862,0.8994012773036957,0.8994012773036957,0.8994012773036957,8,0.875,0,12,8,55,False,9648.0,0.8241004982026795,1.0,8,True,False,,no,cat:862,unknown,spectacles,unknown,global,0,final_score_proxy
OVT-B,481,ovtb_v481_p005522,test,person,669,0.8990329205989838,0.8990329205989838,0.8990329205989838,8,0.875,0,23,8,56,False,4246.0,0.9952993012620972,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,499,ovtb_v499_p005623,cal,person,669,0.8990084007382393,0.8990084007382393,0.8990084007382393,8,0.875,0,24,8,57,False,4352.0,0.993220044468786,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1971,ovtb_v1971_p016755,test,dog,290,0.8989420160651207,0.8989420160651207,0.8989420160651207,8,0.875,0,29,8,58,False,13675.0,0.958777085995378,1.0,8,True,False,,no,cat:290,unknown,dog,unknown,global,0,final_score_proxy
OVT-B,1152,ovtb_v1152_p010489,cal,spectacles,862,0.8987112268805504,0.8987112268805504,0.8987112268805504,8,0.875,0,12,8,59,False,8611.0,0.8601017142678817,1.0,8,True,False,,no,cat:862,unknown,spectacles,unknown,global,0,final_score_proxy
OVT-B,305,ovtb_v305_p004344,cal,license plate,542,0.8986589511235555,0.8986589511235555,0.8986589511235555,3,0.6666666666666666,14,19,3,60,False,3177.0,0.9518255392063836,1.0,3,True,False,,no,cat:542,unknown,license plate,unknown,global,0,final_score_proxy
OVT-B,1482,ovtb_v1482_p012731,cal,person,669,0.8985895067453384,0.8985895067453384,0.8985895067453384,8,0.875,0,23,8,61,False,10564.0,0.9927094281768384,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,541,ovtb_v541_p005913,test,person,669,0.8985417112708092,0.8985417112708092,0.8985417112708092,8,0.875,0,16,8,62,False,4611.0,0.992355559192483,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1957,ovtb_v1957_p016531,cal,person,669,0.898284375667572,0.898284375667572,0.898284375667572,1,0.0,5,5,1,63,False,13634.0,0.8313632626803233,1.0,1,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1967,ovtb_v1967_p016722,cal,dog,290,0.8979200124740601,0.8979200124740601,0.8979200124740601,2,0.5,0,20,2,64,False,13660.0,0.9379145126134404,1.0,2,True,False,,no,cat:290,unknown,dog,unknown,global,0,final_score_proxy
OVT-B,1692,ovtb_v1692_p014147,cal,mechanical pencil,581,0.89747104793787,0.89747104793787,0.89747104793787,8,0.875,0,23,8,65,False,11782.0,0.97392396876162,1.0,8,True,False,,no,cat:581,unknown,mechanical pencil,unknown,global,0,final_score_proxy
OVT-B,645,ovtb_v645_p006711,cal,dress,305,0.8968115225434303,0.8968115225434303,0.8968115225434303,8,0.875,0,24,8,66,False,5385.0,0.9949095036204854,1.0,8,True,False,,no,cat:305,unknown,dress,unknown,global,0,final_score_proxy
OVT-B,1103,ovtb_v1103_p010135,tune,person,669,0.8966369554400444,0.8966369554400444,0.8966369554400444,8,0.875,0,37,8,67,False,8301.0,0.9829898472600764,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,229,ovtb_v229_p003750,test,person,669,0.8964700773358345,0.8964700773358345,0.8964700773358345,8,0.875,0,10,8,68,False,2607.0,0.988552672475704,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1369,ovtb_v1369_p012038,tune,person,669,0.8960266013940176,0.8960266013940176,0.8960266013940176,6,0.8333333333333334,3,10,6,69,False,9945.0,0.9620886962449292,1.0,6,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,40,ovtb_v40_p002441,test,bee,73,0.8958861231803894,0.8958861231803894,0.8958861231803894,1,0.0,246,246,1,70,False,,0.0,0.0,0,False,True,actually_true,no,cat:73,unknown,bee,unknown,global,0,final_score_proxy
OVT-B,305,ovtb_v305_p004343,cal,license plate,542,0.8958630442619324,0.8958630442619324,0.8958630442619324,5,0.8,0,11,5,71,False,3177.0,0.9726473113672968,1.0,5,True,False,,no,cat:542,unknown,license plate,unknown,global,0,final_score_proxy
OVT-B,1897,ovtb_v1897_p015626,cal,person,669,0.8956151008605957,0.8956151008605957,0.8956151008605957,1,0.0,443,443,1,72,False,13051.0,0.9860417607656492,1.0,1,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1249,ovtb_v1249_p011206,cal,person,669,0.8951950967311859,0.8951950967311859,0.8951950967311859,8,0.875,0,29,8,73,False,9201.0,0.9942984151256664,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1525,ovtb_v1525_p012974,cal,spectacles,862,0.8951509296894073,0.8951509296894073,0.8951509296894073,8,0.875,0,23,8,74,False,10824.0,0.8563598789637519,1.0,8,True,False,,no,cat:862,unknown,spectacles,unknown,global,0,final_score_proxy
OVT-B,702,ovtb_v702_p007158,test,spectacles,862,0.8948891535401344,0.8948891535401344,0.8948891535401344,8,0.875,0,17,8,75,False,5731.0,0.9028086206949246,0.625,5,True,False,,no,cat:862,unknown,spectacles,unknown,global,0,final_score_proxy
OVT-B,702,ovtb_v702_p007156,test,person,669,0.8948268070816994,0.8948268070816994,0.8948268070816994,8,0.875,0,17,8,76,False,5732.0,0.985179729314062,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,443,ovtb_v443_p005247,test,short pants,824,0.8946191668510437,0.8946191668510437,0.8946191668510437,1,0.0,6,6,1,77,False,4012.0,0.9021688393819166,1.0,1,True,False,,no,cat:824,unknown,short pants,unknown,global,0,final_score_proxy
OVT-B,505,ovtb_v505_p005657,test,person,669,0.8942821174860001,0.8942821174860001,0.8942821174860001,8,0.875,0,34,8,78,False,4377.0,0.9859367417561156,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,350,ovtb_v350_p004641,cal,person,669,0.8938808962702751,0.8938808962702751,0.8938808962702751,8,0.875,0,14,8,79,False,3472.0,0.9940391157584868,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,875,ovtb_v875_p008428,test,person,669,0.8937845230102539,0.8937845230102539,0.8937845230102539,8,0.875,0,20,8,80,False,6777.0,0.9775765712056071,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1967,ovtb_v1967_p016724,cal,dog,290,0.8936591545740763,0.8936591545740763,0.8936591545740763,3,0.6666666666666666,6,11,3,81,False,13660.0,0.9340606377707702,1.0,3,True,False,,no,cat:290,unknown,dog,unknown,global,0,final_score_proxy
OVT-B,679,ovtb_v679_p006999,test,spectacles,862,0.8935895189642906,0.8935895189642906,0.8935895189642906,8,0.875,0,19,8,82,False,5583.0,0.7982199431974276,1.0,8,True,False,,no,cat:862,unknown,spectacles,unknown,global,0,final_score_proxy
OVT-B,1968,ovtb_v1968_p016729,cal,person,669,0.892876942952474,0.892876942952474,0.892876942952474,3,0.6666666666666666,3,24,3,83,False,13664.0,0.97778632587582,1.0,3,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,285,ovtb_v285_p004164,cal,person,669,0.8927868083119392,0.8927868083119392,0.8927868083119392,8,0.875,0,23,8,84,False,3034.0,0.992254746398342,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1144,ovtb_v1144_p010434,cal,person,669,0.8927123621106148,0.8927123621106148,0.8927123621106148,8,0.875,0,14,8,85,False,8567.0,0.9806937698652284,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1470,ovtb_v1470_p012669,test,person,669,0.8920520097017288,0.8920520097017288,0.8920520097017288,8,0.875,0,14,8,86,False,10503.0,0.9891315417479822,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,656,ovtb_v656_p006784,cal,person,669,0.8920100554823875,0.8920100554823875,0.8920100554823875,8,0.875,0,12,8,87,False,5439.0,0.995432609401006,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,115,ovtb_v115_p003060,test,person,669,0.8917641341686249,0.8917641341686249,0.8917641341686249,8,0.875,0,24,8,88,False,1969.0,0.9935854222802852,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1938,ovtb_v1938_p016293,cal,skateboard,836,0.891389012336731,0.891389012336731,0.891389012336731,1,0.0,64,64,1,89,False,13531.0,0.7131981427187671,1.0,1,True,False,,no,cat:836,unknown,skateboard,unknown,global,0,final_score_proxy
OVT-B,1053,ovtb_v1053_p009744,cal,wolf,1040,0.8911200165748596,0.8911200165748596,0.8911200165748596,8,0.875,0,23,8,90,False,7972.0,0.9856622952490096,1.0,8,True,False,,no,cat:1040,unknown,wolf,unknown,global,0,final_score_proxy
OVT-B,1968,ovtb_v1968_p016728,cal,person,669,0.8910914957523346,0.8910914957523346,0.8910914957523346,6,0.8333333333333334,0,17,6,91,False,13662.0,0.9814592829431084,1.0,6,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,643,ovtb_v643_p006701,test,person,669,0.8910453915596008,0.8910453915596008,0.8910453915596008,6,0.8333333333333334,0,24,6,92,False,5377.0,0.9320639632016556,1.0,6,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1075,ovtb_v1075_p009916,test,person,669,0.8909131810069084,0.8909131810069084,0.8909131810069084,8,0.875,0,15,8,93,False,8104.0,0.9789969518744164,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,162,ovtb_v162_p003339,cal,person,669,0.8908411264419556,0.8908411264419556,0.8908411264419556,8,0.875,0,15,8,94,False,2252.0,0.9911484535963052,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1146,ovtb_v1146_p010452,test,person,669,0.8907864764332771,0.8907864764332771,0.8907864764332771,8,0.875,0,12,8,95,False,8581.0,0.8446230856950816,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1339,ovtb_v1339_p011841,test,person,669,0.8906344026327133,0.8906344026327133,0.8906344026327133,8,0.875,0,16,8,96,False,9754.0,0.9616043096728676,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1193,ovtb_v1193_p010829,test,baseball cap,54,0.8903119638562202,0.8903119638562202,0.8903119638562202,8,0.875,0,39,8,97,False,8809.0,0.992292337678124,1.0,8,True,False,,no,cat:54,unknown,baseball cap,unknown,global,0,final_score_proxy
OVT-B,650,ovtb_v650_p006740,test,mechanical pencil,581,0.8899924159049988,0.8899924159049988,0.8899924159049988,4,0.75,3,23,4,98,False,5410.0,0.967227376807796,1.0,4,True,False,,no,cat:581,unknown,mechanical pencil,unknown,global,0,final_score_proxy
OVT-B,827,ovtb_v827_p008082,test,spectacles,862,0.8899911046028137,0.8899911046028137,0.8899911046028137,8,0.875,0,11,8,99,False,6460.0,0.901334785203832,1.0,8,True,False,,no,cat:862,unknown,spectacles,unknown,global,0,final_score_proxy
OVT-B,618,ovtb_v618_p006502,cal,person,669,0.8899297639727592,0.8899297639727592,0.8899297639727592,8,0.875,0,20,8,100,False,5202.0,0.9796492933425148,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1056,ovtb_v1056_p009782,test,person,669,0.8896181732416153,0.8896181732416153,0.8896181732416153,8,0.875,0,19,8,101,False,7982.0,0.9883750970852871,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1036,ovtb_v1036_p009661,test,baseball cap,54,0.889101505279541,0.889101505279541,0.889101505279541,8,0.875,0,29,8,102,False,7870.0,0.975155351106209,1.0,8,True,False,,no,cat:54,unknown,baseball cap,unknown,global,0,final_score_proxy
OVT-B,1108,ovtb_v1108_p010168,cal,tv,984,0.888970285654068,0.888970285654068,0.888970285654068,8,0.875,0,12,8,103,False,8343.0,0.8946110651772723,1.0,8,True,False,,no,cat:984,unknown,tv,unknown,global,0,final_score_proxy
OVT-B,1419,ovtb_v1419_p012347,cal,sedan,808,0.8887259513139725,0.8887259513139725,0.8887259513139725,8,0.875,0,19,8,104,False,10191.0,0.980380083753026,1.0,8,True,False,,no,cat:808,unknown,sedan,unknown,global,0,final_score_proxy
OVT-B,1214,ovtb_v1214_p010948,cal,seaplane,805,0.8884598165750504,0.8884598165750504,0.8884598165750504,8,0.875,0,19,8,105,False,8932.0,0.988458002690672,1.0,8,True,False,,no,cat:805,unknown,seaplane,unknown,global,0,final_score_proxy
OVT-B,306,ovtb_v306_p004367,test,person,669,0.8881596252322197,0.8881596252322197,0.8881596252322197,8,0.875,0,24,8,106,False,3188.0,0.9873036800668152,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1022,ovtb_v1022_p009532,cal,person,669,0.8880288153886795,0.8880288153886795,0.8880288153886795,8,0.875,0,24,8,107,False,7779.0,0.9841523396297251,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
