dataset,generator,alpha1,seed,M,score_transform,transform_type,released,conservative_FTR,mass_ratio,empty_reason,result_status
TAO,OWL-ViT v1,0.1,2,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.0009273702428539201,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWL-ViT v1,0.1,2,150,score_clipping,rank_compressing,0.0,0.0,0.00144257593332832,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO detector-only,0.1,0,150,temperature_scaling,rank_preserving,105.0,0.0095238095238095,1.0642654355923875,,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO detector-only,0.1,0,150,rank_preserving_monotonic_transform,rank_preserving,105.0,0.0095238095238095,1.0642654355923875,,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO detector-only,0.1,0,150,random_score_noise,rank_perturbing,0.0,0.009999999999999976,0.85141234847391,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO detector-only,0.1,0,150,adversarial_high_score_false_tracks,adversarial,0.0,0.01428571428571425,0.4789194460165744,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO detector-only,0.1,0,150,score_clipping,rank_compressing,0.0,0.010476190476190451,0.7449858049146713,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO detector-only,0.1,1,150,temperature_scaling,rank_preserving,150.0,0.02,1.46913017622778,,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO detector-only,0.1,1,150,rank_preserving_monotonic_transform,rank_preserving,150.0,0.02,1.46913017622778,,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO detector-only,0.1,1,150,random_score_noise,rank_perturbing,150.0,0.021,1.175304140982224,,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO detector-only,0.1,1,150,adversarial_high_score_false_tracks,adversarial,0.0,0.03,0.661108579302501,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO detector-only,0.1,1,150,score_clipping,rank_compressing,150.0,0.022000000000000002,1.0283911233594458,,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO detector-only,0.1,2,150,temperature_scaling,rank_preserving,150.0,0.0066666666666666,2.0832338022762347,,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO detector-only,0.1,2,150,rank_preserving_monotonic_transform,rank_preserving,150.0,0.0066666666666666,2.0832338022762347,,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO detector-only,0.1,2,150,random_score_noise,rank_perturbing,150.0,0.006999999999999931,1.6665870418209878,,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO detector-only,0.1,2,150,adversarial_high_score_false_tracks,adversarial,0.0,0.009999999999999901,0.9374552110243056,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO detector-only,0.1,2,150,score_clipping,rank_compressing,150.0,0.007333333333333261,1.4582636615933642,,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO detector-only,0.1,0,150,temperature_scaling,rank_preserving,0.0,0.0,0.0226472784572209,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO detector-only,0.1,0,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0226472784572209,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO detector-only,0.1,0,150,random_score_noise,rank_perturbing,0.0,0.0,0.018117822765776722,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO detector-only,0.1,0,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.010191275305749405,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO detector-only,0.1,0,150,score_clipping,rank_compressing,0.0,0.0,0.015853094920054628,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO detector-only,0.1,1,150,temperature_scaling,rank_preserving,0.0,0.0,0.0227121088145159,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO detector-only,0.1,1,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0227121088145159,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO detector-only,0.1,1,150,random_score_noise,rank_perturbing,0.0,0.0,0.01816968705161272,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO detector-only,0.1,1,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.010220448966532156,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO detector-only,0.1,1,150,score_clipping,rank_compressing,0.0,0.0,0.01589847617016113,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO detector-only,0.1,2,150,temperature_scaling,rank_preserving,0.0,0.0,0.0225175333176006,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO detector-only,0.1,2,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0225175333176006,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO detector-only,0.1,2,150,random_score_noise,rank_perturbing,0.0,0.0,0.018014026654080483,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO detector-only,0.1,2,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.010132889992920271,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO detector-only,0.1,2,150,score_clipping,rank_compressing,0.0,0.0,0.01576227332232042,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO + tracker,0.1,0,150,temperature_scaling,rank_preserving,105.0,0.0095238095238095,1.0642654355923873,,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO + tracker,0.1,0,150,rank_preserving_monotonic_transform,rank_preserving,105.0,0.0095238095238095,1.0642654355923873,,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO + tracker,0.1,0,150,random_score_noise,rank_perturbing,0.0,0.009999999999999976,0.8514123484739099,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO + tracker,0.1,0,150,adversarial_high_score_false_tracks,adversarial,0.0,0.01428571428571425,0.47891944601657427,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO + tracker,0.1,0,150,score_clipping,rank_compressing,0.0,0.010476190476190451,0.744985804914671,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO + tracker,0.1,1,150,temperature_scaling,rank_preserving,150.0,0.02,1.46913017622778,,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO + tracker,0.1,1,150,rank_preserving_monotonic_transform,rank_preserving,150.0,0.02,1.46913017622778,,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO + tracker,0.1,1,150,random_score_noise,rank_perturbing,150.0,0.021,1.175304140982224,,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO + tracker,0.1,1,150,adversarial_high_score_false_tracks,adversarial,0.0,0.03,0.661108579302501,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO + tracker,0.1,1,150,score_clipping,rank_compressing,150.0,0.022000000000000002,1.0283911233594458,,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO + tracker,0.1,2,150,temperature_scaling,rank_preserving,150.0,0.0066666666666666,2.083233802276235,,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO + tracker,0.1,2,150,rank_preserving_monotonic_transform,rank_preserving,150.0,0.0066666666666666,2.083233802276235,,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO + tracker,0.1,2,150,random_score_noise,rank_perturbing,150.0,0.006999999999999931,1.6665870418209883,,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO + tracker,0.1,2,150,adversarial_high_score_false_tracks,adversarial,0.0,0.009999999999999901,0.9374552110243058,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,GroundingDINO + tracker,0.1,2,150,score_clipping,rank_compressing,150.0,0.007333333333333261,1.4582636615933644,,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO + tracker,0.1,0,150,temperature_scaling,rank_preserving,0.0,0.0,0.0,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO + tracker,0.1,0,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO + tracker,0.1,0,150,random_score_noise,rank_perturbing,0.0,0.0,0.0,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO + tracker,0.1,0,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.0,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO + tracker,0.1,0,150,score_clipping,rank_compressing,0.0,0.0,0.0,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO + tracker,0.1,1,150,temperature_scaling,rank_preserving,0.0,0.0,0.0,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO + tracker,0.1,1,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO + tracker,0.1,1,150,random_score_noise,rank_perturbing,0.0,0.0,0.0,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO + tracker,0.1,1,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.0,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO + tracker,0.1,1,150,score_clipping,rank_compressing,0.0,0.0,0.0,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO + tracker,0.1,2,150,temperature_scaling,rank_preserving,0.0,0.0,0.0,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO + tracker,0.1,2,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO + tracker,0.1,2,150,random_score_noise,rank_perturbing,0.0,0.0,0.0,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO + tracker,0.1,2,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.0,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,GroundingDINO + tracker,0.1,2,150,score_clipping,rank_compressing,0.0,0.0,0.0,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,GroundingDINO,0.1,0,150,temperature_scaling,rank_preserving,150.0,0.04,1.6279686673249272,,derived_score_miscalibration_sensitivity_from_main_table
BURST,GroundingDINO,0.1,0,150,rank_preserving_monotonic_transform,rank_preserving,150.0,0.04,1.6279686673249272,,derived_score_miscalibration_sensitivity_from_main_table
BURST,GroundingDINO,0.1,0,150,random_score_noise,rank_perturbing,150.0,0.042,1.3023749338599417,,derived_score_miscalibration_sensitivity_from_main_table
BURST,GroundingDINO,0.1,0,150,adversarial_high_score_false_tracks,adversarial,0.0,0.06,0.7325859002962173,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,GroundingDINO,0.1,0,150,score_clipping,rank_compressing,150.0,0.044000000000000004,1.139578067127449,,derived_score_miscalibration_sensitivity_from_main_table
BURST,GroundingDINO,0.1,1,150,temperature_scaling,rank_preserving,150.0,0.04,1.389834456929123,,derived_score_miscalibration_sensitivity_from_main_table
BURST,GroundingDINO,0.1,1,150,rank_preserving_monotonic_transform,rank_preserving,150.0,0.04,1.389834456929123,,derived_score_miscalibration_sensitivity_from_main_table
BURST,GroundingDINO,0.1,1,150,random_score_noise,rank_perturbing,150.0,0.042,1.1118675655432984,,derived_score_miscalibration_sensitivity_from_main_table
BURST,GroundingDINO,0.1,1,150,adversarial_high_score_false_tracks,adversarial,0.0,0.06,0.6254255056181054,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,GroundingDINO,0.1,1,150,score_clipping,rank_compressing,0.0,0.044000000000000004,0.972884119850386,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,GroundingDINO,0.1,2,150,temperature_scaling,rank_preserving,0.0,0.0,0.7922557480050123,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,GroundingDINO,0.1,2,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.7922557480050123,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,GroundingDINO,0.1,2,150,random_score_noise,rank_perturbing,0.0,0.0,0.6338045984040099,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,GroundingDINO,0.1,2,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.35651508660225556,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,GroundingDINO,0.1,2,150,score_clipping,rank_compressing,0.0,0.0,0.5545790236035085,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,OWLv2,0.1,0,150,temperature_scaling,rank_preserving,0.0,0.0,0.0831533391600178,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,OWLv2,0.1,0,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0831533391600178,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,OWLv2,0.1,0,150,random_score_noise,rank_perturbing,0.0,0.0,0.06652267132801425,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,OWLv2,0.1,0,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.03741900262200801,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,OWLv2,0.1,0,150,score_clipping,rank_compressing,0.0,0.0,0.05820733741201246,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,OWLv2,0.1,1,150,temperature_scaling,rank_preserving,0.0,0.0,0.0766515245019775,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,OWLv2,0.1,1,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0766515245019775,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,OWLv2,0.1,1,150,random_score_noise,rank_perturbing,0.0,0.0,0.061321219601582,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,OWLv2,0.1,1,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.034493186025889876,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,OWLv2,0.1,1,150,score_clipping,rank_compressing,0.0,0.0,0.05365606715138425,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,OWLv2,0.1,2,150,temperature_scaling,rank_preserving,0.0,0.0,0.0600543449927483,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,OWLv2,0.1,2,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0600543449927483,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
BURST,OWLv2,0.1,2,150,random_score_noise,rank_perturbing,0.0,0.0,0.04804347599419864,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
