dataset,task,detector,alpha1,seed,stratification_dimension,stratum,certification_state,count,rate_within_scope,certification_scope_count
TAO,tracking,,0.1,0,occlusion_level,attribute_unavailable,refused,150,1.0,150
TAO,tracking,,0.1,0,motion_speed,fast,released,0,0.0,59
TAO,tracking,,0.1,0,motion_speed,fast,refused,59,1.0,59
TAO,tracking,,0.1,0,motion_speed,medium,released,0,0.0,7
TAO,tracking,,0.1,0,motion_speed,medium,refused,7,1.0,7
TAO,tracking,,0.1,0,motion_speed,slow,released,0,0.0,84
TAO,tracking,,0.1,0,motion_speed,slow,refused,84,1.0,84
TAO,tracking,,0.1,0,track_length,long,released,0,0.0,54
TAO,tracking,,0.1,0,track_length,long,refused,54,1.0,54
TAO,tracking,,0.1,0,track_length,medium,released,0,0.0,12
TAO,tracking,,0.1,0,track_length,medium,refused,12,1.0,12
TAO,tracking,,0.1,0,track_length,short,released,0,0.0,84
TAO,tracking,,0.1,0,track_length,short,refused,84,1.0,84
TAO,tracking,,0.1,0,category_frequency,head,released,0,,0
TAO,tracking,,0.1,0,category_frequency,head,refused,0,,0
TAO,tracking,,0.1,0,category_frequency,mid,released,0,0.0,95
TAO,tracking,,0.1,0,category_frequency,mid,refused,95,1.0,95
TAO,tracking,,0.1,0,category_frequency,tail,released,0,0.0,55
TAO,tracking,,0.1,0,category_frequency,tail,refused,55,1.0,55
TAO,tracking,,0.1,1,object_size,large,released,0,0.0,67
TAO,tracking,,0.1,1,object_size,large,refused,67,1.0,67
TAO,tracking,,0.1,1,object_size,medium,released,0,0.0,55
TAO,tracking,,0.1,1,object_size,medium,refused,55,1.0,55
TAO,tracking,,0.1,1,object_size,small,released,0,0.0,28
TAO,tracking,,0.1,1,object_size,small,refused,28,1.0,28
TAO,tracking,,0.1,1,occlusion_level,attribute_unavailable,released,0,0.0,150
TAO,tracking,,0.1,1,occlusion_level,attribute_unavailable,refused,150,1.0,150
TAO,tracking,,0.1,1,motion_speed,fast,released,0,0.0,59
TAO,tracking,,0.1,1,motion_speed,fast,refused,59,1.0,59
TAO,tracking,,0.1,1,motion_speed,medium,released,0,0.0,7
TAO,tracking,,0.1,1,motion_speed,medium,refused,7,1.0,7
TAO,tracking,,0.1,1,motion_speed,slow,released,0,0.0,84
TAO,tracking,,0.1,1,motion_speed,slow,refused,84,1.0,84
TAO,tracking,,0.1,1,track_length,long,released,0,0.0,54
TAO,tracking,,0.1,1,track_length,long,refused,54,1.0,54
TAO,tracking,,0.1,1,track_length,medium,released,0,0.0,12
TAO,tracking,,0.1,1,track_length,medium,refused,12,1.0,12
TAO,tracking,,0.1,1,track_length,short,released,0,0.0,84
TAO,tracking,,0.1,1,track_length,short,refused,84,1.0,84
TAO,tracking,,0.1,1,category_frequency,head,released,0,,0
TAO,tracking,,0.1,1,category_frequency,head,refused,0,,0
TAO,tracking,,0.1,1,category_frequency,mid,released,0,0.0,95
TAO,tracking,,0.1,1,category_frequency,mid,refused,95,1.0,95
TAO,tracking,,0.1,1,category_frequency,tail,released,0,0.0,55
TAO,tracking,,0.1,1,category_frequency,tail,refused,55,1.0,55
TAO,tracking,,0.1,2,object_size,large,released,0,0.0,67
TAO,tracking,,0.1,2,object_size,large,refused,67,1.0,67
TAO,tracking,,0.1,2,object_size,medium,released,0,0.0,55
TAO,tracking,,0.1,2,object_size,medium,refused,55,1.0,55
TAO,tracking,,0.1,2,object_size,small,released,0,0.0,28
TAO,tracking,,0.1,2,object_size,small,refused,28,1.0,28
TAO,tracking,,0.1,2,occlusion_level,attribute_unavailable,released,0,0.0,150
TAO,tracking,,0.1,2,occlusion_level,attribute_unavailable,refused,150,1.0,150
TAO,tracking,,0.1,2,motion_speed,fast,released,0,0.0,59
TAO,tracking,,0.1,2,motion_speed,fast,refused,59,1.0,59
TAO,tracking,,0.1,2,motion_speed,medium,released,0,0.0,7
TAO,tracking,,0.1,2,motion_speed,medium,refused,7,1.0,7
TAO,tracking,,0.1,2,motion_speed,slow,released,0,0.0,84
TAO,tracking,,0.1,2,motion_speed,slow,refused,84,1.0,84
TAO,tracking,,0.1,2,track_length,long,released,0,0.0,54
TAO,tracking,,0.1,2,track_length,long,refused,54,1.0,54
TAO,tracking,,0.1,2,track_length,medium,released,0,0.0,12
TAO,tracking,,0.1,2,track_length,medium,refused,12,1.0,12
TAO,tracking,,0.1,2,track_length,short,released,0,0.0,84
TAO,tracking,,0.1,2,track_length,short,refused,84,1.0,84
TAO,tracking,,0.1,2,category_frequency,head,released,0,,0
TAO,tracking,,0.1,2,category_frequency,head,refused,0,,0
TAO,tracking,,0.1,2,category_frequency,mid,released,0,0.0,95
TAO,tracking,,0.1,2,category_frequency,mid,refused,95,1.0,95
TAO,tracking,,0.1,2,category_frequency,tail,released,0,0.0,55
TAO,tracking,,0.1,2,category_frequency,tail,refused,55,1.0,55
TAO,tracking,,0.2,0,object_size,large,released,67,1.0,67
TAO,tracking,,0.2,0,object_size,large,refused,0,0.0,67
TAO,tracking,,0.2,0,object_size,medium,released,55,1.0,55
TAO,tracking,,0.2,0,object_size,medium,refused,0,0.0,55
TAO,tracking,,0.2,0,object_size,small,released,28,1.0,28
TAO,tracking,,0.2,0,object_size,small,refused,0,0.0,28
TAO,tracking,,0.2,0,occlusion_level,attribute_unavailable,released,150,1.0,150
TAO,tracking,,0.2,0,occlusion_level,attribute_unavailable,refused,0,0.0,150
TAO,tracking,,0.2,0,motion_speed,fast,released,59,1.0,59
TAO,tracking,,0.2,0,motion_speed,fast,refused,0,0.0,59
TAO,tracking,,0.2,0,motion_speed,medium,released,7,1.0,7
TAO,tracking,,0.2,0,motion_speed,medium,refused,0,0.0,7
TAO,tracking,,0.2,0,motion_speed,slow,released,84,1.0,84
TAO,tracking,,0.2,0,motion_speed,slow,refused,0,0.0,84
TAO,tracking,,0.2,0,track_length,long,released,54,1.0,54
TAO,tracking,,0.2,0,track_length,long,refused,0,0.0,54
TAO,tracking,,0.2,0,track_length,medium,released,12,1.0,12
TAO,tracking,,0.2,0,track_length,medium,refused,0,0.0,12
TAO,tracking,,0.2,0,track_length,short,released,84,1.0,84
TAO,tracking,,0.2,0,track_length,short,refused,0,0.0,84
TAO,tracking,,0.2,0,category_frequency,head,released,0,,0
TAO,tracking,,0.2,0,category_frequency,head,refused,0,,0
TAO,tracking,,0.2,0,category_frequency,mid,released,95,1.0,95
TAO,tracking,,0.2,0,category_frequency,mid,refused,0,0.0,95
TAO,tracking,,0.2,0,category_frequency,tail,released,55,1.0,55
TAO,tracking,,0.2,0,category_frequency,tail,refused,0,0.0,55
TAO,tracking,,0.2,1,object_size,large,released,67,1.0,67
TAO,tracking,,0.2,1,object_size,large,refused,0,0.0,67
TAO,tracking,,0.2,1,object_size,medium,released,55,1.0,55
TAO,tracking,,0.2,1,object_size,medium,refused,0,0.0,55
TAO,tracking,,0.2,1,object_size,small,released,28,1.0,28
TAO,tracking,,0.2,1,object_size,small,refused,0,0.0,28
TAO,tracking,,0.2,1,occlusion_level,attribute_unavailable,released,150,1.0,150
TAO,tracking,,0.2,1,occlusion_level,attribute_unavailable,refused,0,0.0,150
TAO,tracking,,0.2,1,motion_speed,fast,released,59,1.0,59
TAO,tracking,,0.2,1,motion_speed,fast,refused,0,0.0,59
TAO,tracking,,0.2,1,motion_speed,medium,released,7,1.0,7
TAO,tracking,,0.2,1,motion_speed,medium,refused,0,0.0,7
TAO,tracking,,0.2,1,motion_speed,slow,released,84,1.0,84
TAO,tracking,,0.2,1,motion_speed,slow,refused,0,0.0,84
TAO,tracking,,0.2,1,track_length,long,released,54,1.0,54
TAO,tracking,,0.2,1,track_length,long,refused,0,0.0,54
TAO,tracking,,0.2,1,track_length,medium,released,12,1.0,12
TAO,tracking,,0.2,1,track_length,medium,refused,0,0.0,12
TAO,tracking,,0.2,1,track_length,short,released,84,1.0,84
TAO,tracking,,0.2,1,track_length,short,refused,0,0.0,84
TAO,tracking,,0.2,1,category_frequency,head,released,0,,0
TAO,tracking,,0.2,1,category_frequency,head,refused,0,,0
TAO,tracking,,0.2,1,category_frequency,mid,released,95,1.0,95
TAO,tracking,,0.2,1,category_frequency,mid,refused,0,0.0,95
TAO,tracking,,0.2,1,category_frequency,tail,released,55,1.0,55
TAO,tracking,,0.2,1,category_frequency,tail,refused,0,0.0,55
TAO,tracking,,0.2,2,object_size,large,released,62,0.9253731343283582,67
TAO,tracking,,0.2,2,object_size,large,refused,5,0.07462686567164178,67
TAO,tracking,,0.2,2,object_size,medium,released,54,0.9818181818181818,55
TAO,tracking,,0.2,2,object_size,medium,refused,1,0.01818181818181818,55
TAO,tracking,,0.2,2,object_size,small,released,26,0.9285714285714286,28
TAO,tracking,,0.2,2,object_size,small,refused,2,0.07142857142857142,28
TAO,tracking,,0.2,2,occlusion_level,attribute_unavailable,released,142,0.9466666666666667,150
TAO,tracking,,0.2,2,occlusion_level,attribute_unavailable,refused,8,0.05333333333333334,150
TAO,tracking,,0.2,2,motion_speed,fast,released,53,0.8983050847457628,59
TAO,tracking,,0.2,2,motion_speed,fast,refused,6,0.1016949152542373,59
TAO,tracking,,0.2,2,motion_speed,medium,released,7,1.0,7
TAO,tracking,,0.2,2,motion_speed,medium,refused,0,0.0,7
TAO,tracking,,0.2,2,motion_speed,slow,released,82,0.9761904761904762,84
TAO,tracking,,0.2,2,motion_speed,slow,refused,2,0.023809523809523808,84
TAO,tracking,,0.2,2,track_length,long,released,50,0.9259259259259259,54
TAO,tracking,,0.2,2,track_length,long,refused,4,0.07407407407407407,54
TAO,tracking,,0.2,2,track_length,medium,released,10,0.8333333333333334,12
TAO,tracking,,0.2,2,track_length,medium,refused,2,0.16666666666666666,12
TAO,tracking,,0.2,2,track_length,short,released,82,0.9761904761904762,84
TAO,tracking,,0.2,2,track_length,short,refused,2,0.023809523809523808,84
TAO,tracking,,0.2,2,category_frequency,head,released,0,,0
TAO,tracking,,0.2,2,category_frequency,head,refused,0,,0
TAO,tracking,,0.2,2,category_frequency,mid,released,90,0.9473684210526315,95
TAO,tracking,,0.2,2,category_frequency,mid,refused,5,0.05263157894736842,95
TAO,tracking,,0.2,2,category_frequency,tail,released,52,0.9454545454545454,55
TAO,tracking,,0.2,2,category_frequency,tail,refused,3,0.05454545454545454,55
LVIS,single_frame_detection,GroundingDINO,0.1,0,object_area,large,released,144,1.0,144
LVIS,single_frame_detection,GroundingDINO,0.1,0,object_area,large,refused,0,0.0,144
LVIS,single_frame_detection,GroundingDINO,0.1,0,object_area,medium,released,6,1.0,6
LVIS,single_frame_detection,GroundingDINO,0.1,0,object_area,medium,refused,0,0.0,6
LVIS,single_frame_detection,GroundingDINO,0.1,0,object_area,small,released,0,,0
LVIS,single_frame_detection,GroundingDINO,0.1,0,object_area,small,refused,0,,0
LVIS,single_frame_detection,GroundingDINO,0.1,0,category_frequency,common,released,2,1.0,2
LVIS,single_frame_detection,GroundingDINO,0.1,0,category_frequency,common,refused,0,0.0,2
LVIS,single_frame_detection,GroundingDINO,0.1,0,category_frequency,frequent,released,148,1.0,148
LVIS,single_frame_detection,GroundingDINO,0.1,0,category_frequency,frequent,refused,0,0.0,148
LVIS,single_frame_detection,GroundingDINO,0.1,0,category_frequency,rare,released,0,,0
LVIS,single_frame_detection,GroundingDINO,0.1,0,category_frequency,rare,refused,0,,0
LVIS,single_frame_detection,GroundingDINO,0.1,1,object_area,large,released,144,1.0,144
LVIS,single_frame_detection,GroundingDINO,0.1,1,object_area,large,refused,0,0.0,144
LVIS,single_frame_detection,GroundingDINO,0.1,1,object_area,medium,released,6,1.0,6
LVIS,single_frame_detection,GroundingDINO,0.1,1,object_area,medium,refused,0,0.0,6
LVIS,single_frame_detection,GroundingDINO,0.1,1,object_area,small,released,0,,0
LVIS,single_frame_detection,GroundingDINO,0.1,1,object_area,small,refused,0,,0
LVIS,single_frame_detection,GroundingDINO,0.1,1,category_frequency,common,released,2,1.0,2
LVIS,single_frame_detection,GroundingDINO,0.1,1,category_frequency,common,refused,0,0.0,2
LVIS,single_frame_detection,GroundingDINO,0.1,1,category_frequency,frequent,released,148,1.0,148
LVIS,single_frame_detection,GroundingDINO,0.1,1,category_frequency,frequent,refused,0,0.0,148
LVIS,single_frame_detection,GroundingDINO,0.1,1,category_frequency,rare,released,0,,0
LVIS,single_frame_detection,GroundingDINO,0.1,1,category_frequency,rare,refused,0,,0
LVIS,single_frame_detection,GroundingDINO,0.1,2,object_area,large,released,144,1.0,144
LVIS,single_frame_detection,GroundingDINO,0.1,2,object_area,large,refused,0,0.0,144
LVIS,single_frame_detection,GroundingDINO,0.1,2,object_area,medium,released,6,1.0,6
LVIS,single_frame_detection,GroundingDINO,0.1,2,object_area,medium,refused,0,0.0,6
LVIS,single_frame_detection,GroundingDINO,0.1,2,object_area,small,released,0,,0
LVIS,single_frame_detection,GroundingDINO,0.1,2,object_area,small,refused,0,,0
LVIS,single_frame_detection,GroundingDINO,0.1,2,category_frequency,common,released,2,1.0,2
LVIS,single_frame_detection,GroundingDINO,0.1,2,category_frequency,common,refused,0,0.0,2
LVIS,single_frame_detection,GroundingDINO,0.1,2,category_frequency,frequent,released,148,1.0,148
LVIS,single_frame_detection,GroundingDINO,0.1,2,category_frequency,frequent,refused,0,0.0,148
LVIS,single_frame_detection,GroundingDINO,0.1,2,category_frequency,rare,released,0,,0
LVIS,single_frame_detection,GroundingDINO,0.1,2,category_frequency,rare,refused,0,,0
LVIS,single_frame_detection,GroundingDINO,0.2,0,object_area,large,released,144,1.0,144
LVIS,single_frame_detection,GroundingDINO,0.2,0,object_area,large,refused,0,0.0,144
LVIS,single_frame_detection,GroundingDINO,0.2,0,object_area,medium,released,6,1.0,6
LVIS,single_frame_detection,GroundingDINO,0.2,0,object_area,medium,refused,0,0.0,6
LVIS,single_frame_detection,GroundingDINO,0.2,0,object_area,small,released,0,,0
LVIS,single_frame_detection,GroundingDINO,0.2,0,object_area,small,refused,0,,0
LVIS,single_frame_detection,GroundingDINO,0.2,0,category_frequency,common,released,2,1.0,2
LVIS,single_frame_detection,GroundingDINO,0.2,0,category_frequency,common,refused,0,0.0,2
LVIS,single_frame_detection,GroundingDINO,0.2,0,category_frequency,frequent,released,148,1.0,148
LVIS,single_frame_detection,GroundingDINO,0.2,0,category_frequency,frequent,refused,0,0.0,148
LVIS,single_frame_detection,GroundingDINO,0.2,0,category_frequency,rare,released,0,,0
LVIS,single_frame_detection,GroundingDINO,0.2,0,category_frequency,rare,refused,0,,0
LVIS,single_frame_detection,GroundingDINO,0.2,1,object_area,large,released,144,1.0,144
LVIS,single_frame_detection,GroundingDINO,0.2,1,object_area,large,refused,0,0.0,144
LVIS,single_frame_detection,GroundingDINO,0.2,1,object_area,medium,released,6,1.0,6
LVIS,single_frame_detection,GroundingDINO,0.2,1,object_area,medium,refused,0,0.0,6
LVIS,single_frame_detection,GroundingDINO,0.2,1,object_area,small,released,0,,0
LVIS,single_frame_detection,GroundingDINO,0.2,1,object_area,small,refused,0,,0
LVIS,single_frame_detection,GroundingDINO,0.2,1,category_frequency,common,released,2,1.0,2
LVIS,single_frame_detection,GroundingDINO,0.2,1,category_frequency,common,refused,0,0.0,2
LVIS,single_frame_detection,GroundingDINO,0.2,1,category_frequency,frequent,released,148,1.0,148
LVIS,single_frame_detection,GroundingDINO,0.2,1,category_frequency,frequent,refused,0,0.0,148
LVIS,single_frame_detection,GroundingDINO,0.2,1,category_frequency,rare,released,0,,0
LVIS,single_frame_detection,GroundingDINO,0.2,1,category_frequency,rare,refused,0,,0
LVIS,single_frame_detection,GroundingDINO,0.2,2,object_area,large,released,144,1.0,144
LVIS,single_frame_detection,GroundingDINO,0.2,2,object_area,large,refused,0,0.0,144
LVIS,single_frame_detection,GroundingDINO,0.2,2,object_area,medium,released,6,1.0,6
LVIS,single_frame_detection,GroundingDINO,0.2,2,object_area,medium,refused,0,0.0,6
LVIS,single_frame_detection,GroundingDINO,0.2,2,object_area,small,released,0,,0
