dataset,detector,image_id,path_id,category_id,score,score_bin,frequency_bin,audit_label,verified_positive_for_calibration,audit_status,reason
LVIS,OWLv2,,ovtb_v548201_p070621,811,0.3139081001281738,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v186980_p024424,194,0.3139042258262634,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v206454_p027063,385,0.3139026165008545,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v578632_p075616,1186,0.313901424407959,mid,head,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v176946_p006975,642,0.3138953447341919,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v336053_p043187,498,0.3138906061649322,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v159649_p020399,703,0.3138899505138397,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v37777_p004875,181,0.3138869106769562,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v438500_p057976,98,0.3138847947120666,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v294962_p038237,1043,0.3138827681541443,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v14477_p001694,451,0.3138808012008667,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v140840_p018098,611,0.3138740360736847,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v306412_p040089,218,0.3138729631900787,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v320743_p041942,422,0.3138721287250519,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v202923_p026568,595,0.3138697445392608,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v273068_p035355,827,0.313869297504425,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v209972_p027598,118,0.3138683140277862,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v542127_p069910,556,0.3138672113418579,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v401250_p052767,502,0.3138668835163116,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v286507_p037597,1074,0.3138651847839355,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v422350_p054880,346,0.3138649463653564,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v294783_p011657,804,0.3138644099235534,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v34139_p004602,35,0.3138606250286102,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v188439_p025503,549,0.3138592541217804,mid,head,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v557047_p022094,522,0.3138583600521087,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v279083_p036179,59,0.3138572871685028,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v173812_p006686,595,0.3138569295406341,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v201305_p008066,10,0.3138565123081207,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v438737_p058004,12,0.313853919506073,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v272694_p035489,377,0.3138531744480133,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v349787_p045781,903,0.3138520121574402,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v355111_p013777,976,0.3138509392738342,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v269445_p035140,1071,0.3138478994369507,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v320523_p012476,50,0.3138467371463775,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v167598_p021537,611,0.3138434588909149,mid,head,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v341719_p013519,793,0.3138423562049866,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v20311_p002478,45,0.3138404786586761,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v380070_p049632,351,0.3138376176357269,mid,head,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v580264_p023087,1099,0.3138349056243896,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v234040_p031334,881,0.3138324022293091,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v537025_p069766,1108,0.313829094171524,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v270195_p034982,709,0.3138284087181091,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v226592_p029573,804,0.3138266205787658,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v139012_p017913,271,0.3138260245323181,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v364842_p014484,1026,0.3138256967067718,mid,head,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v377359_p014673,910,0.3138234913349151,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v335585_p043350,647,0.3138227164745331,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v98514_p012717,1139,0.3138218522071838,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v321066_p041979,118,0.3138198554515838,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v144200_p019132,154,0.3138188123703003,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v502818_p065301,837,0.3138166964054107,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v503697_p065430,312,0.3138163387775421,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v481521_p019160,99,0.3138159215450287,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v109277_p013802,232,0.3138152360916137,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v277998_p035985,641,0.3138146996498108,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v304015_p039841,36,0.3138124346733093,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v455267_p059133,154,0.3138118386268616,mid,head,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v192023_p007440,965,0.3138112127780914,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v375492_p048451,976,0.3138109445571899,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v547284_p020733,1025,0.3138099014759063,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v73661_p009663,1026,0.3138091266155243,mid,head,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v32606_p001450,703,0.3138086199760437,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v279097_p036078,29,0.3138081133365631,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v177383_p022965,549,0.3138058483600616,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v135472_p017560,965,0.3138026297092438,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v206427_p026837,154,0.3138009905815124,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v463953_p060221,133,0.3138000965118408,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v425010_p055202,1027,0.3137957453727722,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v309371_p040543,1060,0.3137895762920379,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v432424_p056188,296,0.3137886822223663,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v466085_p060847,811,0.3137886226177215,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v573795_p074174,976,0.3137881159782409,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v426642_p056213,976,0.3137881159782409,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v332311_p043462,45,0.3137871921062469,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v131138_p016693,296,0.3137847185134887,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v534662_p021164,1035,0.3137837052345276,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v511221_p065969,773,0.3137826919555664,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v243401_p009607,99,0.3137792944908142,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v191731_p025064,45,0.3137768805027008,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v268441_p034796,252,0.3137765526771545,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v40414_p005442,836,0.3137753903865814,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v287388_p011236,1133,0.3137734234333038,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v73527_p009250,1074,0.3137717545032501,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v325838_p042184,361,0.3137712776660919,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v364797_p047179,45,0.313766598701477,mid,head,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v150843_p006002,559,0.313766211271286,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v25394_p003072,1190,0.3137641549110412,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v69884_p009269,1110,0.3137636184692383,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v137727_p018303,36,0.3137627840042114,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v410603_p053479,94,0.3137615919113159,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v457745_p059790,132,0.3137606978416443,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v175440_p023389,7,0.3137583434581756,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v455597_p059087,139,0.313757836818695,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v572536_p074392,127,0.3137535154819488,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v417476_p053929,1186,0.3137504458427429,mid,head,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v496097_p019806,385,0.3137490749359131,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v296634_p011554,217,0.313747763633728,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v437632_p056909,716,0.3137472569942474,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v89743_p011267,29,0.313744306564331,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v108722_p014178,118,0.3137435019016266,mid,head,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v563604_p022376,1026,0.3137423098087311,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v442009_p057490,66,0.3137400448322296,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v132328_p016820,1122,0.3137373030185699,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v572956_p074811,703,0.3137315809726715,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v357561_p046827,948,0.3137311339378357,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v327794_p042192,73,0.3137296438217163,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v114474_p014848,50,0.3137267231941223,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v125936_p005019,133,0.3137250542640686,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v344222_p045151,735,0.3137214183807373,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v231655_p030269,171,0.3137208819389343,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v489029_p018771,806,0.3137200474739074,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v367228_p047989,61,0.3137198984622955,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v229216_p009200,995,0.3137182593345642,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v148772_p019732,1115,0.3137161135673523,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v514376_p020399,298,0.3137138187885284,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v74663_p002780,125,0.3137128055095672,mid,head,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v238290_p009538,903,0.3137100338935852,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v200764_p026300,1110,0.3137080371379852,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v580304_p022511,12,0.3137068748474121,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v220189_p028751,430,0.3137062489986419,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v209972_p008420,118,0.3137055039405823,mid,head,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v417742_p016756,500,0.3137050867080688,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v349868_p045273,3,0.3137046992778778,mid,mid,,no,requires_human_review,
